"";"REFSEQ_MRNA";"logFC"
"ILMN_1692707";"NM_001013663";-0,680455817185179
"ILMN_2078264";"NM_173824";0,387431546147344
"ILMN_1698677";"NM_017867";0,379725897946526
"ILMN_1694798";"NM_022483";0,743909183232961
"ILMN_1662184";"NM_198566";0,812464609872031
"ILMN_1726930";"NM_001093756";0,907846120910352
"ILMN_2380588";"NM_199184";-0,286101395343646
"ILMN_1783075";"NM_198468";0,634665687514675
"ILMN_1665117";"NM_152734";-0,489994666035815
"ILMN_1779751";"NM_197964";-0,490620723601678
"ILMN_1677385";"NM_138436";-0,328248912596159
"ILMN_1683175";"NM_148178";-0,343563651789953
"ILMN_2323508";"NM_001002260";-0,528393894705552
"ILMN_2191929";"NM_017832";0,746791234797249
"ILMN_1685104";"NM_017832";0,576226074993937
"ILMN_1765858";"NM_016289";0,58776511981895
"ILMN_1812096";"NM_145296";-0,363375689055032
"ILMN_1766200";"NM_015916";-0,435246402167984
"ILMN_1660633";"NM_033259";-0,810327625566364
"ILMN_1716057";"NM_001748";-0,36678839682812
"ILMN_1809477";"NM_001042476";-0,433381612439963
"ILMN_1783546";"NM_018210";-0,398511477286457
"ILMN_1696066";"NM_001014438";0,407239926321659
"ILMN_1715437";"NM_144508";1,11984148876515
"ILMN_2181968";"NM_005188";0,306732264950993
"ILMN_1770678";"NM_005189";-0,415949585178543
"ILMN_1790625";"NM_016587";1,00683240021333
"ILMN_1724145";"NM_003655";-0,246995738006591
"ILMN_1767260";"NM_144978";0,995371297377712
"ILMN_1804953";"NM_206886";0,906511959243052
"ILMN_1743783";"NM_001099225";0,432050326328453
"ILMN_1702541";"NM_032141";1,02059394546454
"ILMN_1801600";"NM_052848";-0,409043466762551
"ILMN_1695357";"NM_017785";0,885732547174619
"ILMN_1798705";"NM_005190";0,374155382959095
"ILMN_1773119";"NM_001761";-0,287594867710546
"ILMN_2094776";"NM_020307";0,594340901334409
"ILMN_1766797";"NM_005125";-0,545184674401748
"ILMN_1730433";"NM_012120";0,973607915898102
"ILMN_2307740";"NM_172358";0,605213551088218
"ILMN_1662973";"NM_002231";-0,445362882178428
"ILMN_1747911";"NM_001786";0,689606379514663
"ILMN_1737651";"NM_015891";0,741567230027401
"ILMN_1652907";"NM_001253";0,509054352491949
"ILMN_1741801";"NM_003503";0,926799013661483
"ILMN_2341611";"NM_178181";-0,495801039713696
"ILMN_1711023";"NM_016408";-0,193057380634606
"ILMN_1812557";"NM_176096";-0,214099740330465
"ILMN_1748883";"NM_079421";-0,245235335421992
"ILMN_1666305";"NM_005192";0,742720962539586
"ILMN_1790973";"NM_003818";-0,487802699099053
"ILMN_1691290";"NM_001407";-0,605852133084225
"ILMN_2225718";"NM_001813";1,25258438463912
"ILMN_1664516";"NM_016343";1,11607413183045
"ILMN_1795918";"NM_031946";-0,635034566956035
"ILMN_1758778";"NM_007018";0,961498313187882
"ILMN_1740385";"NM_014956";-0,33648637583514
"ILMN_1703754";"NM_032142";0,786162647743488
"ILMN_1747016";"NM_018131";1,12423973745417
"ILMN_1695645";"NM_004344";0,383120180444005
"ILMN_1664630";"NM_001274";0,546984731943844
"ILMN_1741176";"NM_014043";0,519471450260982
"ILMN_1756705";"NM_022092";-0,320346177089947
"ILMN_1677041";"NM_001278";0,796737047982525
"ILMN_1735199";"NM_020313";-0,310855317949468
"ILMN_1674411";"NM_001098525";0,67612334116134
"ILMN_1751776";"NM_152515";1,21069577998387
"ILMN_1748770";"NM_001008938";0,440112064064076
"ILMN_1803236";"NM_006536";-1,2488407200574
"ILMN_1763036";"NM_001286";-0,365777809911958
"ILMN_1678775";"NM_013269";0,34752256274604
"ILMN_1711702";"NM_013269";0,499698661145283
"ILMN_2063584";"NM_013943";0,742117778341798
"ILMN_2063586";"NM_013943";0,627930935259691
"ILMN_2404085";"NM_002956";0,706520791894064
"ILMN_1665831";"NM_001294";-0,195532917143467
"ILMN_1709894";"NM_006660";0,711281142412617
"ILMN_1756779";"NM_004859";0,851243009962455
"ILMN_1662328";"NM_017623";-0,386585813400051
"ILMN_1717541";"NM_033655";-0,45605529629887
"ILMN_1711514";"NM_004086";-0,611908650780027
"ILMN_1776154";"NM_031431";0,462533441930207
"ILMN_1706505";"NM_000093";-0,978095045108727
"ILMN_2096654";"NM_017828";-0,45942383839389
"ILMN_1699112";"NM_016451";0,792633616255639
"ILMN_1738103";"NM_199442";-0,518532591564732
"ILMN_1708204";"NM_016128";-0,485368693454889
"ILMN_3234979";"NM_016035";-0,289399544802491
"ILMN_1664367";"NM_182476";-0,653501696029273
"ILMN_2154671";"NM_001863";-0,307531149330773
"ILMN_1722294";"NM_153634";1,10978137648733
