"";"REFSEQ_MRNA";"logFC"
"ILMN_1775743";"NM_001731";-0,346151573865066
"ILMN_1770085";"NM_006763";-1,07934994504285
"ILMN_1752758";"NM_006995";-0,439753452097295
"ILMN_2373831";"NM_197974";-1,27153694666378
"ILMN_1654413";"NM_001012714";-1,08319534422691
"ILMN_1761411";"NM_024834";0,21331681724189
"ILMN_1791656";"NM_015608";0,580429805054192
"ILMN_3239861";"NM_207371";-0,842274908938987
"ILMN_1788356";"NM_182901";-0,630047838236864
"ILMN_2359029";"NM_020642";-0,386424446844028
"ILMN_1752988";"NM_182901";-0,428454227110953
"ILMN_1656463";"NM_016401";-0,223496726237577
"ILMN_2180371";"NM_013300";1,18542959456076
"ILMN_1755414";"NM_182558";0,454849684170376
"ILMN_1791792";"NM_020375";0,765508500191169
"ILMN_3244516";"NM_001109662";-0,44416984044421
"ILMN_1736995";"NM_152440";0,332706955031883
"ILMN_2391551";"NM_025138";-0,202069162890382
"ILMN_1682774";"NM_138779";0,451203971609269
"ILMN_1713744";"NM_020215";-1,0822391574714
"ILMN_1734440";"NM_022067";-0,510034133794718
"ILMN_1685781";"NM_032490";0,225620231695359
"ILMN_2193315";"NM_145231";0,372664946741541
"ILMN_1721106";"NM_024952";-1,15622630958971
"ILMN_1696708";"NM_016039";0,392502086136814
"ILMN_3187771";"NR_023922";-0,386973114832626
"ILMN_2157709";"NR_002937";-0,504120653800292
"ILMN_1686082";"NM_174891";0,391078056767934
"ILMN_1724897";"NM_021944";-0,662485956541048
"ILMN_1657744";"NM_020447";-0,384681496156028
"ILMN_1652008";"NM_033286";0,57258324189984
"ILMN_1717324";"NM_173501";0,894043913010478
"ILMN_1777129";"NM_025082";-0,338016713880599
"ILMN_1783333";"NM_020188";0,254021016565277
"ILMN_1711703";"NM_025187";-0,589501737537224
"ILMN_3237452";"NM_001105520";-0,375900228301078
"ILMN_3239959";"NM_001113324";-0,246993387783057
"ILMN_1681252";"NM_173621";-1,57924353999944
"ILMN_1719224";"NM_152350";-0,323277786340835
"ILMN_2225746";"NM_017622";-0,514227118914793
"ILMN_2201533";"NM_152766";-0,473068947269873
"ILMN_1672554";"NM_203413";-0,348995622653352
"ILMN_2221076";"NM_018553";0,413318113361798
"ILMN_3261278";"XM_001719942";-0,536647297349995
"ILMN_2406892";"NM_134447";0,548000465600591
"ILMN_2073446";"NM_023938";-0,791812397848474
"ILMN_1676725";"NM_023938";-0,607897609825825
"ILMN_3241665";"NR_024337";0,686402100348905
"ILMN_1757415";"NM_023077";0,602858063553925
"ILMN_1667966";"NM_052966";-0,576849262426853
"ILMN_1742611";"NM_198077";0,430678158625257
"ILMN_1702231";"NM_024579";-0,394212891140671
"ILMN_1748291";"NM_152608";0,526863991073423
"ILMN_1706413";"NM_015997";-0,596547699666035
"ILMN_1736234";"NM_015607";0,142325304023615
"ILMN_1698243";"NM_144580";-0,851606479296647
"ILMN_2047354";"NM_032705";0,508011608795224
"ILMN_1808769";"NM_032705";0,494122764154135
"ILMN_1668996";"NM_001212";0,398909019242788
"ILMN_1807067";"NM_080628";-0,682350751581221
"ILMN_2387599";"NM_018840";0,155667922367634
"ILMN_1782095";"NM_031424";-0,634573557291723
"ILMN_1776147";"NM_021254";0,625392394024209
"ILMN_1695959";"NM_058187";-0,611340331431581
"ILMN_1682896";"NM_058191";0,563253124636474
"ILMN_1706859";"NM_033318";-0,397847496168225
"ILMN_1774584";"NM_080592";-0,516751331243524
"ILMN_2386016";"NM_080592";-0,472421156825655
"ILMN_1708906";"NM_017546";0,216765540785214
"ILMN_1724376";"NM_015701";0,559524042226499
"ILMN_1730631";"NM_025203";0,35619115444516
"ILMN_1787370";"NM_144736";0,383643622080262
"ILMN_1705753";"NM_032359";0,703472249083048
"ILMN_1690454";"NM_203370";-0,66502996185192
"ILMN_1694470";"NM_001040061";-1,02221406399437
"ILMN_2098616";"NM_001014279";-0,835787006904914
"ILMN_1704253";"NM_024294";-0,430638001437774
"ILMN_2391765";"NM_001040437";-0,359228143568849
"ILMN_1705116";"NM_021945";-0,819517748563069
"ILMN_1751143";"NM_024315";0,443237193666988
"ILMN_1708604";"NM_015622";0,299044862895487
"ILMN_1793508";"NM_020192";0,695733087049721
"ILMN_3248773";"NR_003697";0,606581000286316
"ILMN_1779735";"NM_001008395";-0,67663951668821
"ILMN_1659990";"NM_013332";-0,889858876349493
"ILMN_1717219";"NM_001037163";-0,526963106810634
"ILMN_3243302";"XM_001126758";0,602850831150858
"ILMN_2135709";"NM_173549";-0,904605728170408
"ILMN_1769409";"NM_033428";-0,194974930620079
"ILMN_1717248";"NM_152569";-0,530241710459447
"ILMN_1697166";"NM_016520";0,174417265154412
"ILMN_1743219";"NM_001217";-0,890909229256173
"ILMN_1748840";"NM_007088";1,84407086597356
"ILMN_1774427";"NM_020898";-0,641829777984225
"ILMN_1778242";"NM_006888";0,537969925115394
"ILMN_1687858";"NM_001743";0,411803227768733
"ILMN_1815707";"NM_001031733";0,246772426522867
"ILMN_1714599";"NM_001745";-0,432672324249996
"ILMN_1664012";"NM_138793";0,470049865602284
"ILMN_1655821";"NM_001747";-0,757563489524979
"ILMN_1695285";"XR_017761";-1,52367970619525
"ILMN_1754145";"NM_005898";0,343003678595894
"ILMN_1680134";"NM_199141";-0,228401324246072
"ILMN_2256953";"NM_001079843";-0,98827574512307
"ILMN_1766408";"NM_001755";0,545022268954774
"ILMN_1809003";"NM_001757";-0,41807626044227
"ILMN_1701127";"NM_017721";-0,440123128405951
"ILMN_1764096";"NM_004059";-0,612329785810199
"ILMN_1796762";"NM_033212";-0,836135686436176
"ILMN_1672759";"NM_138357";0,282427088736805
"ILMN_1730347";"NM_032357";-0,933903799727518
"ILMN_1686135";"NM_138363";0,378691444324781
"ILMN_1720233";"NM_017748";0,233218945969457
"ILMN_2101375";"NM_032358";0,491083596942735
"ILMN_1803338";"NM_199511";-1,2363768794476
"ILMN_1792681";"NM_024098";1,11123468210566
"ILMN_1657234";"NM_004591";2,27035409971508
"ILMN_1774087";"NM_019846";-1,14127030096014
"ILMN_2228845";"NM_148672";-0,604332814998187
"ILMN_1752394";"NM_182849";-0,43634937493758
"ILMN_1691942";"NM_006835";-0,341954701490893
"ILMN_1810069";"NM_152523";0,476561897463093
"ILMN_2166524";"NM_152523";0,5742912317827
"ILMN_1679382";"NM_006431";0,627160043549411
"ILMN_1776073";"NM_006430";0,61188764211747
"ILMN_1706246";"NM_012073";0,480804318472299
"ILMN_2050617";"NR_003110";0,907413943105208
"ILMN_2341793";"NM_001009570";0,259997149498371
"ILMN_2396444";"NM_001040021";0,343633554263313
"ILMN_2348788";"NM_001001392";0,849001232799927
"ILMN_1803429";"NM_001001391";0,657863450343596
"ILMN_2392274";"NM_001024844";-0,64630861828838
"ILMN_1695423";"NM_001769";-0,350260621331001
"ILMN_1678605";"NM_006023";0,516110633033135
"ILMN_2210837";"NM_139286";0,366696862006219
"ILMN_1668369";"NM_007065";0,27993199041576
"ILMN_1745223";"NM_012121";-0,713058357734237
"ILMN_1778917";"NM_001799";0,649476106948375
"ILMN_1720270";"NM_001802";0,337599209656738
"ILMN_1651237";"NM_030928";-0,750567863509762
"ILMN_1712522";"NM_002483";1,83781839189436
"ILMN_1715715";"NM_004364";-1,15118298792292
"ILMN_1773764";"XM_927968";-0,228222639363056
"ILMN_1720482";"NM_016564";-0,319239182954391
"ILMN_1800611";"NM_018140";-0,483267210227638
"ILMN_2356838";"NM_006090";0,380106659648904
"ILMN_2388975";"NM_182661";-0,748868121437697
"ILMN_1774287";"NM_001710";-0,90762246370387
"ILMN_1800837";"NM_006324";0,707225812948785
"ILMN_3238072";"NM_138481";-0,700341434385421
"ILMN_1698148";"NM_015557";-0,367732219513535
"ILMN_1677376";"NM_017780";0,958699100332387
"ILMN_2395236";"NM_007194";-0,386730252023574
"ILMN_2106902";"NM_005197";-1,19114987892266
"ILMN_1653828";"NM_018223";-0,365083527437653
"ILMN_1659054";"NM_005198";-0,406025980025944
"ILMN_1776337";"NM_012124";1,24094012684257
"ILMN_1791501";"NM_139320";-0,462249592463284
"ILMN_3248627";"NM_000740";0,583356182084644
"ILMN_1741131";"NM_000747";-0,61965702857954
"ILMN_1670926";"NM_015892";-0,654888003819288
"ILMN_1784780";"NM_015125";-0,494409549426146
"ILMN_1674661";"NM_001280";-0,589812661705476
"ILMN_1796235";"NM_032830";0,433200156965521
"ILMN_1732066";"NM_001015001";-0,471867270846161
"ILMN_1763491";"NM_020990";-0,563382088292103
"ILMN_1724686";"NM_021101";0,597245733467071
"ILMN_1717138";"NM_001009566";-0,91672612886655
"ILMN_1709634";"NM_138809";-0,573324268301631
"ILMN_1696494";"NM_017801";0,862430635764925
"ILMN_1805765";"NM_153610";-0,453496818397658
"ILMN_1769319";"NM_003418";0,280221107690524
"ILMN_1786353";"NM_000087";1,21418723800535
"ILMN_2330112";"NM_001009551";0,58167037118241
"ILMN_1786532";"NM_005776";0,549047974486246
"ILMN_1758543";"NM_005776";0,594135602747754
"ILMN_1714759";"NM_014184";-0,15064132287177
"ILMN_1655720";"NM_020184";-0,330743491564908
"ILMN_1656134";"NM_013354";0,653300234101946
"ILMN_2252408";"NM_152755";-0,807474610039485
"ILMN_1711888";"NM_015198";-0,72660258739937
"ILMN_1688034";"NM_004645";0,343820118060719
"ILMN_1651282";"NM_000494";-0,591025136679958
"ILMN_1799105";"NM_000494";-0,731363604574558
"ILMN_1701308";"NM_000088";-0,879528654672199
"ILMN_2292123";"NM_005713";0,698165996701634
"ILMN_1742534";"NM_000495";-0,698635986791258
"ILMN_1751161";"NM_000094";-1,05957646406442
"ILMN_1761242";"NM_152516";-0,224258815139796
"ILMN_1777378";"NM_203497";-0,270319732983037
"ILMN_1736752";"NM_144589";-0,260614359986766
"ILMN_1684385";"NM_004766";0,474284573211353
"ILMN_1770732";"NM_003653";0,239240652705378
"ILMN_1726755";"NM_016129";0,417883626650893
"ILMN_2373779";"NM_006710";0,31325535611038
"ILMN_1667361";"NM_016429";-0,783996648329071
"ILMN_1751615";"NM_025147";0,908262730907845
"ILMN_2377019";"NM_020441";-0,616864251897923
"ILMN_1652207";"NM_001861";-0,168111890196712
"ILMN_1783636";"NM_004373";-0,403887399580485
"ILMN_3237665";"NM_004718";-0,383027358733125
"ILMN_2276000";"NM_003915";0,296540081803373
"ILMN_1660551";"NM_020825";-0,266807421068871
"ILMN_1809583";"NM_001079846";-0,333531640448786
"ILMN_1739558";"NM_001031717";-0,394814011289855
"ILMN_2146418";"NM_016441";0,512982449657777
"ILMN_1803302";"NM_016823";0,533844220615364
"ILMN_1686805";"NM_016823";0,698205604166754
"ILMN_1789541";"NM_001014809";-0,308454267603627
"ILMN_1799672";"NM_014675";-1,24495318607171
"ILMN_1665235";"NM_006371";-0,529995592380615
"ILMN_2202637";"NM_004075";0,654821541437981
"ILMN_1760708";"NM_000496";0,381516961420959
"ILMN_1714397";"NM_015974";-0,976612507547732
"ILMN_1795407";"NM_145858";0,160473351942897
"ILMN_2119692";"NM_015989";-0,480093528015179
"ILMN_1688184";"NM_006574";-0,393796692341983
"ILMN_1660806";"NM_001321";-0,397032413897122
"ILMN_1669888";"NM_005213";-0,203385543080923
"ILMN_1692962";"NM_005730";-0,563758703852928
"ILMN_3236344";"XM_001714786";-0,393774135466362
"ILMN_1725090";"NM_138455";-0,700573762239912
"ILMN_1804854";"NM_001903";-0,282634556056182
"ILMN_2230902";"NM_001903";-0,335917322863107
"ILMN_1721901";"NM_003798";0,947938994389906
"ILMN_2136446";"NM_003798";1,03127047988723
"ILMN_1757350";"NM_001098209";0,817020071016563
"ILMN_1746396";"NM_001098209";0,61013279624733
"ILMN_1651617";"NM_001098209";0,368676539812603
"ILMN_1758895";"NM_000396";-0,587085522629666
"ILMN_2331163";"NM_003589";0,457369892069986
"ILMN_1765044";"NM_015960";0,54321781782352
"ILMN_2278636";"NM_181552";-0,413633462336859
"ILMN_1798360";"NM_020311";-2,72364258305595
"ILMN_1768176";"NM_016500";0,60008608680474
"ILMN_1724341";"NM_001039210";0,489342221740015
"ILMN_3256325";"NM_182580";-0,380999165980183
"ILMN_3180557";"NM_001134404";-0,264065294224896
"ILMN_2129505";"NM_153611";-1,255789384161
"ILMN_1815115";"NM_001916";-0,333415357461966
"ILMN_1788131";"NM_057157";-1,02662543592667
"ILMN_1705403";"NM_030622";-0,180160542079326
"ILMN_2178492";"NM_001082";0,514181884929519
"ILMN_2054607";"NM_207352";0,929633742255596
"ILMN_2188264";"NM_001554";1,24486253703208
"ILMN_3255061";"NM_001033555";-0,603289034075235
"ILMN_1731619";"NM_001344";0,123345255278045
"ILMN_1755926";"NM_020548";-0,380609805995208
"ILMN_1757631";"NM_001042610";-0,469784028511303
"ILMN_1715555";"NM_001352";-0,966081147114772
"ILMN_1762281";"NM_007234";-0,389557964650313
"ILMN_1744059";"NM_006571";0,786553883791179
"ILMN_1665455";"NM_173475";0,598409057143039
"ILMN_2124352";"NM_032299";0,629211598826318
"ILMN_1726839";"NM_032299";0,564430171330004
"ILMN_1681437";"NM_016286";-0,319127218717096
"ILMN_1784420";"XM_931895";-0,720114569999479
"ILMN_1735461";"NM_004728";1,70114398442422
"ILMN_1781721";"NM_022779";0,756766018463741
"ILMN_1695983";"NM_203499";0,172744917449142
"ILMN_1814859";"NM_201224";0,598139968714637
"ILMN_1667430";"NM_003676";-1,2917840437155
"ILMN_1666503";"NM_015689";-1,52285461410388
"ILMN_1692742";"NM_014957";-0,776668809955567
"ILMN_1713301";"NM_005137";-0,78001143405918
"ILMN_2319910";"NM_201554";-0,906098885713305
"ILMN_2319913";"NM_201554";-0,854738369125203
"ILMN_1717946";"NM_003647";0,475490346362461
"ILMN_1689200";"NM_014475";-0,912569276757291
"ILMN_1762666";"NM_021004";-0,471586398399413
"ILMN_1807455";"NM_016029";-0,290635430311557
"ILMN_1733998";"NM_005771";1,1152403330031
"ILMN_2281502";"NM_005771";1,15174214122215
"ILMN_2384181";"NM_005771";0,988767278324426
"ILMN_2168449";"NM_001358";0,651616670268314
"ILMN_1695745";"NM_032890";-0,928879336917928
"ILMN_1671257";"NM_001363";0,755268330090047
"ILMN_1773337";"NM_012242";1,020092968356
"ILMN_1743373";"NM_005618";-1,09392697652029
"ILMN_1789357";"NM_005220";-1,2520699867843
"ILMN_1759598";"NM_005221";-1,45992444680301
"ILMN_1655521";"NM_022160";-0,829946964175364
"ILMN_1672496";"NM_001539";0,643136003428754
"ILMN_1753243";"NM_016306";0,579541315151575
"ILMN_2390974";"NM_006736";-0,809939787275773
"ILMN_1656486";"NM_018981";0,801774672108464
"ILMN_1767809";"NM_004125";0,533118019134115
"ILMN_3307827";"NM_005528";-0,923734098495047
"ILMN_1730464";"NM_031427";0,820931250229145
"ILMN_1796245";"NM_001375";-0,95792562934686
"ILMN_1752455";"NM_024940";0,609463568282102
"ILMN_1773413";"NM_015296";0,694471861045963
"ILMN_1774261";"NM_018110";-0,364078107269177
"ILMN_1734317";"NM_006268";-0,409669387127803
"ILMN_2375418";"NM_001384";0,460961611727459
"ILMN_1672503";"NM_001386";-0,603226401424003
"ILMN_2381257";"NM_024422";0,697701112396943
"ILMN_1715905";"NM_024918";-0,335026540847875
"ILMN_1813275";"XM_941691";-0,660871635269581
"ILMN_1659462";"NM_017823";-0,867226926402218
"ILMN_1656501";"NM_004419";1,17720799426714
"ILMN_2396020";"NM_022652";3,14767495901912
"ILMN_1680130";"NM_017653";-0,408545179311673
"ILMN_2354617";"NM_004714";-0,386271088494385
"ILMN_1669502";"NM_001949";0,678700107809431
"ILMN_1782551";"NM_001951";1,10283637573895
"ILMN_1720287";"NM_004424";-0,418468064551668
"ILMN_2073604";"NM_006579";-0,470333334431379
"ILMN_1805922";"NM_032565";-0,643664282572468
"ILMN_1653143";"NM_007265";0,393001787673606
"ILMN_2206645";"NM_007265";0,526158739774315
"ILMN_1653115";"NM_001398";-0,831225776066592
"ILMN_2233604";"NM_016581";-0,402698816997652
"ILMN_1680814";"NM_001956";-1,97252375141584
"ILMN_1738383";"NM_001961";-0,275855198931021
"ILMN_1789171";"NM_013302";-1,14898043229775
"ILMN_2371055";"NM_004428";-1,13765812834378
"ILMN_1703852";"NM_004093";-0,532048718330319
"ILMN_1702105";"NM_032459";-0,611013932255127
"ILMN_1762899";"NM_001964";0,517170799326655
"ILMN_1671473";"NM_014600";-1,07137575971554
"ILMN_1751081";"NM_025256";-0,490741137906587
"ILMN_3237907";"NM_020365";0,45732248524087
"ILMN_1794522";"NM_001970";0,349584790818277
"ILMN_1769201";"NM_004433";-0,45492086085671
"ILMN_1652082";"NM_001421";-0,4301710338402
"ILMN_1655930";"NM_012081";0,965904692551282
