"";"Category";"Term";"Count";"%";"Pvalue";"FDR";"List Total";"Pop Hits";"Pop Total";"Fold Enrichment";"group"
"33";"GOTERM_CC_FAT";"GO:0022627~cytosolic small ribosomal subunit";17;0,589868147120056;0,00130009393188497;2,07473619203626;2200;48;14527;2,33862689393939;"a"
"34";"GOTERM_CC_FAT";"GO:0030055~cell-substrate junction";98;3,40041637751561;7,74307349600097e-07;0,00124784659319976;2200;399;14527;1,6218341307815;"a"
"35";"GOTERM_CC_FAT";"GO:0030176~integral component of endoplasmic reticulum membrane";39;1,35322692574601;0,00048918833201924;0,785455331746099;2200;147;14527;1,75186456400742;"a"
"36";"GOTERM_CC_FAT";"GO:0030529~intracellular ribonucleoprotein complex";204;7,07841776544067;8,81161748347053e-16;1,43218770176645e-12;2200;786;14527;1,71380291464261;"a"
"37";"GOTERM_CC_FAT";"GO:0030880~RNA polymerase complex";37;1,28383067314365;0,000223835737599363;0,360118333534887;2200;132;14527;1,85089187327824;"a"
"38";"GOTERM_CC_FAT";"GO:0031227~intrinsic component of endoplasmic reticulum membrane";39;1,35322692574601;0,000973467778257227;1,55732612421956;2200;152;14527;1,69423744019139;"a"
"39";"GOTERM_CC_FAT";"GO:0031966~mitochondrial membrane";140;4,85773768216516;0,000182868310403801;0,294298924717284;2200;691;14527;1,33783712669386;"a"
"40";"GOTERM_CC_FAT";"GO:0031967~organelle envelope";217;7,529493407356;0,000251121227076742;0,403933347377228;2200;1149;14527;1,24707611361658;"a"
"41";"GOTERM_CC_FAT";"GO:0031970~organelle envelope lumen";25;0,867453157529493;0,00117103027528991;1,8705914035852;2200;84;14527;1,96523268398268;"a"
"42";"GOTERM_CC_FAT";"GO:0031975~envelope";217;7,529493407356;0,000324411366873344;0,521533141599972;2200;1154;14527;1,24167283756105;"a"
"43";"GOTERM_CC_FAT";"GO:0033061~DNA recombinase mediator complex";6;0,208188757807078;0,00127105257536348;2,02883516028757;2200;7;14527;5,65987012987013;"a"
"44";"GOTERM_CC_FAT";"GO:0033063~Rad51B-Rad51C-Rad51D-XRCC2 complex";5;0,173490631505899;0,00230246733625456;3,64672078446049;2200;5;14527;6,60318181818182;"a"
