"";"REFSEQ_MRNA";"logFC"
"ILMN_2330948";"NM_001024228";NA
"ILMN_1661458";"NM_001024226";NA
"ILMN_1682938";"NM_001659";NA
"ILMN_1764297";"NM_001663";NA
"ILMN_1768399";"NM_001025595";NA
"ILMN_1711490";"NM_015071";NA
"ILMN_1678143";"NM_001175";NA
"ILMN_1772370";"NM_004706";NA
"ILMN_1727205";"NM_018125";NA
"ILMN_1810712";"NM_015313";NA
"ILMN_2214473";"NM_001003702";NA
"ILMN_1696956";"NM_006465";NA
"ILMN_2188119";"NM_001040025";NA
"ILMN_3231952";"NM_001103154";NA
"ILMN_1775405";"NM_005738";NA
"ILMN_1753663";"NM_001037164";NA
"ILMN_1743241";"NM_001037164";NA
"ILMN_2113362";"NM_015161";NA
"ILMN_1797298";"NM_024585";NA
"ILMN_2385318";"NM_014154";NA
"ILMN_1755732";"NM_025139";NA
"ILMN_2334760";"NM_177947";NA
"ILMN_2334765";"NM_177947";NA
"ILMN_1718046";"NM_014862";NA
"ILMN_1759915";"NM_006409";NA
"ILMN_1792489";"NM_005731";NA
"ILMN_1655561";"NM_005719";NA
"ILMN_1768394";"NM_005717";NA
"ILMN_1730620";"NM_004041";NA
"ILMN_1715181";"NM_015683";NA
"ILMN_2198515";"NM_020801";NA
"ILMN_2184064";"NM_183376";NA
"ILMN_2358202";"NM_015908";NA
"ILMN_1712587";"NM_000046";NA
"ILMN_1657050";"NM_198150";NA
"ILMN_1800935";"NM_022786";NA
"ILMN_1684054";"NM_177924";NA
"ILMN_3242048";"XM_927086";NA
"ILMN_2358784";"NM_145863";NA
"ILMN_2358783";"NM_145863";NA
"ILMN_1806705";"NM_177999";NA
"ILMN_2397776";"NM_177999";NA
"ILMN_1680419";"NM_024708";NA
"ILMN_1685097";"NM_015947";NA
"ILMN_1732615";"XM_942506";NA
"ILMN_1661860";"XM_001132706";NA
"ILMN_2374865";"NM_001040619";NA
"ILMN_1783394";"NM_001675";NA
"ILMN_1669113";"NM_012068";NA
"ILMN_1748968";"NM_031482";NA
"ILMN_1725707";"NM_030803";NA
"ILMN_2365881";"NM_017974";NA
"ILMN_2163732";"NM_022488";NA
"ILMN_2411915";"NM_178326";NA
"ILMN_1718265";"NM_004849";NA
"ILMN_1790978";"NM_006395";NA
"ILMN_1752393";"NM_145178";NA
"ILMN_3307935";"NM_024490";NA
"ILMN_2134224";"NM_020410";NA
"ILMN_1658071";"NM_001677";NA
"ILMN_1730291";"NM_001677";NA
"ILMN_1655884";"NM_170665";NA
"ILMN_1785413";"NM_014861";NA
"ILMN_1772132";"NM_001686";NA
"ILMN_1756674";"NR_002162";NA
"ILMN_2225887";"NR_002162";NA
"ILMN_1672191";"NM_001688";NA
"ILMN_1721989";"NM_001688";NA
"ILMN_1712430";"NM_005175";NA
"ILMN_1652806";"NM_001003703";NA
"ILMN_2310621";"NM_004889";NA
"ILMN_1812638";"NM_006476";NA
"ILMN_1677440";"NM_005765";NA
"ILMN_2353642";"NM_001039457";NA
"ILMN_1773849";"XM_001130742";NA
"ILMN_1798485";"NM_001039367";NA
"ILMN_1810235";"NM_080653";NA
"ILMN_1689473";"NM_213620";NA
"ILMN_1783956";"NM_024837";NA
"ILMN_2370464";"NM_032166";NA
"ILMN_1653896";"NM_032166";NA
"ILMN_1862018";"NM_001098833";NA
"ILMN_1684217";"NM_004217";NA
"ILMN_1710216";"NM_020371";NA
"ILMN_3237977";"NM_015060";NA
"ILMN_1698324";"NM_000054";NA
"ILMN_1766185";"NM_181050";NA
"ILMN_1724480";"NM_004655";NA
"ILMN_1739749";"NM_080605";NA
"ILMN_1764813";"NM_194318";NA
"ILMN_1800082";"NM_014256";NA
"ILMN_1692267";"NM_003779";NA
"ILMN_1663541";"NM_007255";NA
"ILMN_3239284";"NM_015681";NA
"ILMN_2326712";"NM_138991";NA
"ILMN_1727996";"NM_004874";NA
"ILMN_1703593";"NM_018842";NA
"ILMN_1805990";"NM_001188";NA
"ILMN_2179837";"NM_003860";NA
"ILMN_1749243";"NM_003860";NA
"ILMN_1663631";"NM_079837";NA
"ILMN_1701216";"NM_079837";NA
"ILMN_1686626";"NM_080598";NA
"ILMN_2390416";"NM_080703";NA
"ILMN_1683300";"NM_004324";NA
"ILMN_1737380";"NM_001008406";NA
"ILMN_1672596";"NM_014567";NA
"ILMN_2148452";"NM_005872";NA
"ILMN_1752899";"NM_022893";NA
"ILMN_2246956";"NM_000633";NA
"ILMN_1742410";"NM_138578";NA
"ILMN_1731193";"NM_001040668";NA
"ILMN_2396982";"NM_001040668";NA
"ILMN_1752953";"NM_001040668";NA
"ILMN_1710514";"NM_005178";NA
"ILMN_1754199";"NM_001707";NA
"ILMN_1704452";"NM_004326";NA
"ILMN_1712161";"NM_017745";NA
"ILMN_1676241";"NM_020926";NA
"ILMN_1670398";"NM_004327";NA
"ILMN_3178043";"NM_152751";NA
"ILMN_2060652";"NM_016526";NA
"ILMN_1814808";"NM_016561";NA
"ILMN_1708131";"NM_030639";NA
"ILMN_2380418";"NM_001003800";NA
"ILMN_1768194";"NM_001166";NA
"ILMN_1675612";"NM_006698";NA
"ILMN_2157510";"NM_001487";NA
"ILMN_2106656";"NM_003666";NA
"ILMN_2106658";"NM_003666";NA
"ILMN_1740900";"NM_130851";NA
"ILMN_2070896";"NM_001204";NA
"ILMN_1789095";"NM_001204";NA
"ILMN_3238183";"NR_003611";NA
"ILMN_1751465";"NM_001717";NA
"ILMN_1679464";"NM_001717";NA
"ILMN_1692748";"NM_001717";NA
"ILMN_1734410";"NM_013980";NA
"ILMN_2318733";"NM_013979";NA
"ILMN_1724658";"NM_004052";NA
"ILMN_1810680";"NM_001031827";NA
"ILMN_2147920";"NR_002730";NA
"ILMN_2185845";"NM_032430";NA
