"";"ID";"SYMBOL";"a0Mean";"Posterior_class_a";"Posterior_class_b";"Posterior_class_c";"Posterior_class_d"
"1998";"ILMN_1694140";"AFAP1L1";" 6.42";"0.827";"0.0700";"0.0429";"0.0607"
"1999";"ILMN_1753135";"ALK";" 5.01";"0.827";"0.0623";"0.0705";"0.0408"
"2000";"ILMN_1761422";"LOC440349";" 4.89";"0.827";"0.0475";"0.0853";"0.0407"
"2001";"ILMN_3251723";"PNPT1";"10.24";"0.827";"0.0619";"0.0563";"0.0553"
"2002";"ILMN_1723542";"ZNF137";" 4.84";"0.827";"0.0446";"0.0870";"0.0420"
"2003";"ILMN_1801442";"KRT81";" 6.09";"0.826";"0.0419";"0.0904";"0.0412"
"2004";"ILMN_1769406";"PIAS2";" 6.12";"0.826";"0.0452";"0.0452";"0.0833"
"2005";"ILMN_1794505";"SHFM1";" 5.07";"0.826";"0.0407";"0.0728";"0.0602"
"2006";"ILMN_1665660";"C11orf17";" 5.21";"0.826";"0.0411";"0.0683";"0.0643"
"2007";"ILMN_1761260";"COBLL1";"10.15";"0.826";"0.0497";"0.0780";"0.0460"
"2008";"ILMN_1703072";"CREB3";" 5.55";"0.826";"0.0715";"0.0613";"0.0409"
"2009";"ILMN_3288218";"LOC644315";" 4.99";"0.826";"0.0408";"0.0867";"0.0462"
"2010";"ILMN_1714159";"LUZP1";"10.56";"0.826";"0.0582";"0.0687";"0.0468"
"2011";"ILMN_1693683";"PDAP1";" 4.95";"0.826";"0.0407";"0.0607";"0.0723"
"2012";"ILMN_1695868";"PRICKLE4";"10.86";"0.826";"0.0628";"0.0444";"0.0665"
"2013";"ILMN_1861128";"";" 5.29";"0.826";"0.0563";"0.0505";"0.0670"
"2014";"ILMN_1682727";"JAZF1";" 7.33";"0.826";"0.0672";"0.0427";"0.0639"
"2015";"ILMN_3225505";"LOC728553";"13.98";"0.826";"0.0579";"0.0517";"0.0641"
"2016";"ILMN_1752952";"MMP28";" 6.45";"0.826";"0.0459";"0.0872";"0.0407"
"2017";"ILMN_1680507";"PPP2R2C";" 6.93";"0.826";"0.0555";"0.0408";"0.0775"
"2018";"ILMN_2234970";"SLC39A3";" 8.80";"0.826";"0.0831";"0.0413";"0.0494"
"2019";"ILMN_1806651";"PARP8";" 7.39";"0.826";"0.0408";"0.0818";"0.0513"
"2020";"ILMN_1748904";"WTAP";" 8.01";"0.826";"0.0407";"0.0605";"0.0727"
"2021";"ILMN_1749892";"EGLN1";" 7.10";"0.826";"0.0408";"0.0788";"0.0544"
"2022";"ILMN_3257430";"HNRNPUL1";" 5.54";"0.826";"0.0684";"0.0572";"0.0484"
"2023";"ILMN_3211746";"LOC100131166";" 6.60";"0.826";"0.0855";"0.0408";"0.0478"
"2024";"ILMN_1672660";"MBP";"10.31";"0.826";"0.0428";"0.0867";"0.0446"
"2025";"ILMN_1810782";"SH3KBP1";" 7.84";"0.826";"0.0920";"0.0407";"0.0415"
"2026";"ILMN_1748309";"LOC645367";" 4.97";"0.826";"0.0424";"0.0615";"0.0703"
"2027";"ILMN_1713995";"SCNN1A";" 9.85";"0.826";"0.0409";"0.0457";"0.0876"
"2028";"ILMN_2361575";"SNX14";" 5.01";"0.826";"0.0483";"0.0446";"0.0813"
"2029";"ILMN_1744138";"CHCHD7";" 8.45";"0.826";"0.0487";"0.0420";"0.0835"
"2030";"ILMN_2180519";"LOC729603";"12.18";"0.826";"0.0697";"0.0615";"0.0431"
"2031";"ILMN_1718424";"MRPS28";" 9.19";"0.826";"0.0876";"0.0442";"0.0425"
"2032";"ILMN_1788059";"PCGF5";" 5.49";"0.826";"0.0421";"0.0816";"0.0506"
"2033";"ILMN_2129015";"AFF1";" 5.86";"0.826";"0.0406";"0.0859";"0.0478"
"2034";"ILMN_1662896";"BRWD2";" 7.95";"0.826";"0.0431";"0.0887";"0.0426"
"2035";"ILMN_1708340";"DAPK1";" 4.87";"0.826";"0.0496";"0.0450";"0.0797"
"2036";"ILMN_1798816";"GOSR1";" 6.07";"0.826";"0.0469";"0.0562";"0.0713"
"2037";"ILMN_2105033";"PLDN";" 9.49";"0.826";"0.0579";"0.0668";"0.0497"
"2038";"ILMN_2206420";"UGT1A3";" 5.12";"0.826";"0.0785";"0.0505";"0.0454"
"2039";"ILMN_2070896";"BMPR2";" 6.35";"0.826";"0.0408";"0.0836";"0.0501"
"2040";"ILMN_1710697";"BUD31";"10.35";"0.826";"0.0867";"0.0407";"0.0471"
"2041";"ILMN_2394438";"FAM177A1";"13.86";"0.826";"0.0718";"0.0620";"0.0408"
"2042";"ILMN_1706958";"PCNA";" 5.40";"0.826";"0.0651";"0.0653";"0.0440"
"2043";"ILMN_3251217";"PDXDC2";" 5.49";"0.826";"0.0668";"0.0519";"0.0558"
"2044";"ILMN_1743021";"CAMKK2";" 5.36";"0.825";"0.0440";"0.0472";"0.0833"
"2045";"ILMN_3244461";"LRRC16A";" 8.06";"0.825";"0.0813";"0.0411";"0.0522"
"2046";"ILMN_2103591";"MORC2";" 6.32";"0.825";"0.0765";"0.0442";"0.0539"
"2047";"ILMN_1703108";"UBE2L6";" 5.28";"0.825";"0.0729";"0.0433";"0.0584"
"2048";"ILMN_2091084";"C8orf37";"11.76";"0.825";"0.0690";"0.0616";"0.0441"
"2049";"ILMN_1692706";"DCUN1D2";" 5.56";"0.825";"0.0490";"0.0534";"0.0722"
"2050";"ILMN_3251251";"GNL3L";" 5.58";"0.825";"0.0406";"0.0910";"0.0431"
"2051";"ILMN_3307409";"RREB1";" 6.03";"0.825";"0.0846";"0.0451";"0.0450"
"2052";"ILMN_1771224";"SKA1";" 6.71";"0.825";"0.0604";"0.0708";"0.0435"
"2053";"ILMN_2370464";"ATRIP";" 7.51";"0.825";"0.0934";"0.0406";"0.0407"
"2054";"ILMN_2398926";"C17orf58";" 9.24";"0.825";"0.0923";"0.0413";"0.0411"
"2055";"ILMN_1651776";"FHOD1";" 7.31";"0.825";"0.0895";"0.0436";"0.0417"
"2056";"ILMN_1667831";"HOXB6";" 5.20";"0.825";"0.0809";"0.0480";"0.0458"
"2057";"ILMN_1676595";"PCSK6";" 5.07";"0.825";"0.0928";"0.0409";"0.0411"
"2058";"ILMN_3239735";"WASH5P";" 5.10";"0.825";"0.0601";"0.0546";"0.0600"
"2059";"ILMN_1678957";"WDR55";" 7.12";"0.825";"0.0855";"0.0421";"0.0472"
"2060";"ILMN_1800530";"CENTG2";" 8.61";"0.825";"0.0410";"0.0909";"0.0429"
"2061";"ILMN_1763390";"ISL1";" 7.03";"0.825";"0.0907";"0.0436";"0.0407"
"2062";"ILMN_1740711";"KIAA1571";" 4.98";"0.825";"0.0515";"0.0412";"0.0823"
"2063";"ILMN_1776493";"MTUS1";" 4.90";"0.825";"0.0422";"0.0869";"0.0458"
"2064";"ILMN_2331636";"ACACA";"10.51";"0.825";"0.0874";"0.0443";"0.0433"
"2065";"ILMN_1700507";"CLASP1";" 7.68";"0.825";"0.0407";"0.0887";"0.0456"
"2066";"ILMN_2202915";"FAR2";" 5.29";"0.825";"0.0512";"0.0653";"0.0585"
"2067";"ILMN_3287244";"LOC728138";" 8.80";"0.825";"0.0652";"0.0657";"0.0441"
"2068";"ILMN_1814204";"C21orf55";"12.49";"0.825";"0.0762";"0.0536";"0.0452"
"2069";"ILMN_3237067";"FAM75B";" 5.01";"0.825";"0.0851";"0.0407";"0.0493"
"2070";"ILMN_1756360";"RPL35A";"11.15";"0.825";"0.0866";"0.0415";"0.0470"
"2071";"ILMN_2106380";"TNFSF15";" 6.72";"0.825";"0.0442";"0.0412";"0.0897"
"2072";"ILMN_1686610";"APBA3";" 6.40";"0.825";"0.0426";"0.0595";"0.0731"
"2073";"ILMN_1796737";"APM-1";"11.72";"0.825";"0.0422";"0.0852";"0.0478"
"2074";"ILMN_3211463";"LOC644037";" 6.64";"0.825";"0.0425";"0.0641";"0.0686"
"2075";"ILMN_1813645";"NEK11";" 5.42";"0.825";"0.0866";"0.0424";"0.0463"
"2076";"ILMN_1739210";"NSL1";" 9.93";"0.825";"0.0436";"0.0834";"0.0482"
"2077";"ILMN_1678203";"RBMX2";" 5.24";"0.825";"0.0444";"0.0464";"0.0844"
"2078";"ILMN_2227385";"SLC16A14";" 6.20";"0.825";"0.0434";"0.0414";"0.0904"
"2079";"ILMN_1800935";"ARV1";" 7.44";"0.825";"0.0577";"0.0471";"0.0706"
"2080";"ILMN_1778321";"SLC2A6";" 5.48";"0.825";"0.0436";"0.0902";"0.0415"
"2081";"ILMN_1652160";"LRBA";" 6.83";"0.825";"0.0418";"0.0927";"0.0409"
"2082";"ILMN_2248725";"TYSND1";" 5.81";"0.825";"0.0514";"0.0823";"0.0418"
"2083";"ILMN_1885728";"KIAA1147";" 6.28";"0.825";"0.0409";"0.0934";"0.0413"
"2084";"ILMN_3305628";"LOC728678";" 5.01";"0.825";"0.0804";"0.0408";"0.0542"
"2085";"ILMN_1685109";"POLR3D";" 5.58";"0.825";"0.0914";"0.0406";"0.0434"
"2086";"ILMN_1801504";"RUNX1";" 5.81";"0.825";"0.0836";"0.0423";"0.0497"
"2087";"ILMN_1720285";"ESD";"10.33";"0.824";"0.0931";"0.0416";"0.0410"
"2088";"ILMN_2128923";"HCCS";" 6.77";"0.824";"0.0906";"0.0432";"0.0417"
"2089";"ILMN_1779639";"IRAK1BP1";" 6.15";"0.824";"0.0456";"0.0633";"0.0667"
"2090";"ILMN_1704404";"PSMD13";" 6.75";"0.824";"0.0716";"0.0407";"0.0633"
"2091";"ILMN_1698487";"SDHD";"10.87";"0.824";"0.0783";"0.0514";"0.0459"
"2092";"ILMN_2414848";"TBRG4";" 8.65";"0.824";"0.0942";"0.0408";"0.0406"
"2093";"ILMN_1728512";"YWHAH";"12.90";"0.824";"0.0840";"0.0493";"0.0423"
"2094";"ILMN_2326712";"BACE2";" 7.69";"0.824";"0.0720";"0.0468";"0.0569"
"2095";"ILMN_1810810";"EEF1A1";"14.23";"0.824";"0.0474";"0.0413";"0.0870"
"2096";"ILMN_1824898";"LOC728653";" 5.43";"0.824";"0.0663";"0.0473";"0.0621"
"2097";"ILMN_1694213";"PLEKHO1";" 5.22";"0.824";"0.0416";"0.0412";"0.0929"
"2098";"ILMN_1802082";"PRDM8";" 8.10";"0.824";"0.0457";"0.0703";"0.0597"
"2099";"ILMN_1684211";"SEC14L2";" 5.81";"0.824";"0.0914";"0.0426";"0.0417"
"2100";"ILMN_1697095";"SUZ12P";" 6.18";"0.824";"0.0456";"0.0511";"0.0790"
"2101";"ILMN_3288755";"LOC646808";" 6.00";"0.824";"0.0517";"0.0834";"0.0406"
"2102";"ILMN_1805812";"TOR1A";" 9.84";"0.824";"0.0778";"0.0574";"0.0407"
"2103";"ILMN_1743646";"VASP";" 7.40";"0.824";"0.0442";"0.0710";"0.0605"
"2104";"ILMN_1801633";"C20orf52";"12.26";"0.824";"0.0669";"0.0489";"0.0600"
"2105";"ILMN_1687589";"CPT1A";" 4.95";"0.824";"0.0670";"0.0406";"0.0683"
"2106";"ILMN_1716922";"DHX16";" 9.19";"0.824";"0.0540";"0.0608";"0.0611"
"2107";"ILMN_1774432";"DTD1";" 8.15";"0.824";"0.0597";"0.0712";"0.0450"
"2108";"ILMN_1668760";"HAS3";" 6.34";"0.824";"0.0742";"0.0430";"0.0588"
"2109";"ILMN_1805192";"ITPRIP";" 8.36";"0.824";"0.0498";"0.0809";"0.0451"
"2110";"ILMN_1810191";"PLA2G4C";" 5.24";"0.824";"0.0423";"0.0845";"0.0491"
"2111";"ILMN_1750167";"PRR3";" 6.02";"0.824";"0.0636";"0.0558";"0.0566"
"2112";"ILMN_1690443";"C14orf82";" 6.21";"0.824";"0.0553";"0.0406";"0.0802"
"2113";"ILMN_1714710";"CCDC120";" 7.61";"0.824";"0.0923";"0.0410";"0.0427"
"2114";"ILMN_1663453";"HIST1H2AI";" 5.00";"0.824";"0.0423";"0.0504";"0.0833"
"2115";"ILMN_2059797";"NOL3";" 6.17";"0.824";"0.0820";"0.0409";"0.0531"
"2116";"ILMN_1768115";"TSPAN12";" 6.56";"0.824";"0.0406";"0.0409";"0.0945"
"2117";"ILMN_1752932";"MPZL2";"10.76";"0.824";"0.0707";"0.0408";"0.0646"
"2118";"ILMN_1768004";"PDCD4";" 6.90";"0.824";"0.0407";"0.0946";"0.0408"
"2119";"ILMN_3237839";"ZNF674";"13.75";"0.824";"0.0664";"0.0459";"0.0638"
"2120";"ILMN_1792860";"MED22";" 5.57";"0.824";"0.0716";"0.0407";"0.0640"
"2121";"ILMN_2345016";"PTGES2";" 8.57";"0.824";"0.0818";"0.0452";"0.0492"
"2122";"ILMN_2154052";"FVT1";" 8.59";"0.824";"0.0588";"0.0723";"0.0452"
"2123";"ILMN_1796165";"GLRX5";"12.26";"0.824";"0.0422";"0.0804";"0.0537"
"2124";"ILMN_1832656";"";" 5.00";"0.824";"0.0631";"0.0726";"0.0406"
"2125";"ILMN_3287266";"LOC100133328";" 9.78";"0.824";"0.0418";"0.0918";"0.0427"
"2126";"ILMN_2054928";"XPNPEP3";"13.14";"0.824";"0.0685";"0.0584";"0.0494"
"2127";"ILMN_3245310";"CCDC94";" 5.27";"0.824";"0.0452";"0.0731";"0.0582"
"2128";"ILMN_1789240";"MLST8";" 7.31";"0.824";"0.0785";"0.0562";"0.0417"
"2129";"ILMN_2098126";"CCL5";" 6.65";"0.824";"0.0408";"0.0851";"0.0507"
"2130";"ILMN_1687058";"LOC648494";" 5.12";"0.824";"0.0424";"0.0422";"0.0920"
"2131";"ILMN_1781419";"C11orf73";" 7.88";"0.823";"0.0892";"0.0412";"0.0462"
"2132";"ILMN_1779711";"DTL";" 8.64";"0.823";"0.0614";"0.0647";"0.0504"
"2133";"ILMN_3303101";"LOC730173";" 6.92";"0.823";"0.0874";"0.0407";"0.0485"
"2134";"ILMN_2101651";"MBTD1";" 6.73";"0.823";"0.0477";"0.0663";"0.0626"
"2135";"ILMN_1781198";"PPP1R3D";" 5.75";"0.823";"0.0838";"0.0413";"0.0515"
"2136";"ILMN_1838836";"";" 4.85";"0.823";"0.0450";"0.0859";"0.0459"
"2137";"ILMN_1911484";"";" 6.71";"0.823";"0.0648";"0.0475";"0.0644"
"2138";"ILMN_1703558";"FHL3";" 6.01";"0.823";"0.0406";"0.0546";"0.0817"
"2139";"ILMN_3239181";"ITPRIP";" 7.93";"0.823";"0.0769";"0.0460";"0.0539"
"2140";"ILMN_3195203";"C17orf101";" 7.50";"0.823";"0.0449";"0.0659";"0.0661"
"2141";"ILMN_1782938";"SLC16A10";" 5.60";"0.823";"0.0717";"0.0405";"0.0647"
"2142";"ILMN_2167922";"TRMT5";"12.33";"0.823";"0.0699";"0.0456";"0.0614"
"2143";"ILMN_3249608";"ANKLE2";" 8.97";"0.823";"0.0555";"0.0697";"0.0518"
"2144";"ILMN_1718265";"ATG5";" 5.66";"0.823";"0.0636";"0.0450";"0.0684"
"2145";"ILMN_1654319";"HAPLN3";" 5.19";"0.823";"0.0474";"0.0889";"0.0407"
"2146";"ILMN_1698512";"LOC730063";" 5.27";"0.823";"0.0554";"0.0461";"0.0755"
"2147";"ILMN_2319000";"MATK";" 8.72";"0.823";"0.0883";"0.0418";"0.0469"
"2148";"ILMN_1712075";"SYNM";" 8.47";"0.823";"0.0537";"0.0503";"0.0731"
"2149";"ILMN_1730291";"ATP1B1";" 9.25";"0.823";"0.0409";"0.0953";"0.0408"
"2150";"ILMN_2380237";"C1QTNF1";" 5.79";"0.823";"0.0810";"0.0483";"0.0478"
"2151";"ILMN_1789830";"CFLAR";" 7.81";"0.823";"0.0845";"0.0514";"0.0412"
"2152";"ILMN_3210885";"LOC645700";" 4.93";"0.823";"0.0409";"0.0920";"0.0442"
"2153";"ILMN_1772645";"AGK";" 8.57";"0.823";"0.0407";"0.0851";"0.0514"
"2154";"ILMN_3244693";"LOC100130557";" 5.28";"0.823";"0.0628";"0.0738";"0.0405"
"2155";"ILMN_1756402";"TMEM177";" 7.83";"0.823";"0.0928";"0.0412";"0.0432"
"2156";"ILMN_1803846";"EIF1";"12.07";"0.823";"0.0408";"0.0472";"0.0893"
"2157";"ILMN_2091846";"FTHL2";" 8.11";"0.823";"0.0492";"0.0409";"0.0871"
"2158";"ILMN_3278506";"LOC148430";"11.01";"0.823";"0.0704";"0.0521";"0.0548"
"2159";"ILMN_1677452";"REXO4";" 8.50";"0.823";"0.0900";"0.0432";"0.0440"
"2160";"ILMN_2112599";"C16orf80";" 9.66";"0.823";"0.0572";"0.0744";"0.0458"
"2161";"ILMN_2112493";"DAP";" 8.54";"0.823";"0.0458";"0.0874";"0.0442"
"2162";"ILMN_1728799";"FBP1";" 5.23";"0.823";"0.0948";"0.0405";"0.0421"
"2163";"ILMN_1663145";"NOMO3";" 4.83";"0.823";"0.0497";"0.0649";"0.0629"
"2164";"ILMN_1751075";"SETD4";" 6.27";"0.823";"0.0496";"0.0475";"0.0803"
"2165";"ILMN_1718336";"C7orf50";"10.90";"0.823";"0.0440";"0.0446";"0.0889"
"2166";"ILMN_3265237";"FLJ44342";" 5.66";"0.823";"0.0650";"0.0719";"0.0406"
"2167";"ILMN_1866887";"";" 6.19";"0.823";"0.0407";"0.0847";"0.0521"
"2168";"ILMN_1693225";"LOC646897";" 5.05";"0.823";"0.0565";"0.0775";"0.0435"
"2169";"ILMN_2187058";"LOC93349";" 4.94";"0.823";"0.0487";"0.0816";"0.0471"
"2170";"ILMN_1748109";"PEX1";" 6.57";"0.823";"0.0405";"0.0832";"0.0538"
"2171";"ILMN_1692664";"PRR5";" 7.58";"0.823";"0.0767";"0.0563";"0.0445"
"2172";"ILMN_1695280";"SMG6";" 5.15";"0.823";"0.0408";"0.0433";"0.0935"
"2173";"ILMN_1726729";"C2orf76";" 7.46";"0.822";"0.0407";"0.0783";"0.0586"
"2174";"ILMN_1668374";"ITGB5";" 9.93";"0.822";"0.0937";"0.0420";"0.0419"
"2175";"ILMN_2147114";"PSPH";" 7.30";"0.822";"0.0452";"0.0800";"0.0523"
"2176";"ILMN_1795930";"PTGER4";" 8.87";"0.822";"0.0405";"0.0813";"0.0558"
"2177";"ILMN_2189869";"FCF1";" 6.00";"0.822";"0.0505";"0.0406";"0.0866"
"2178";"ILMN_1778202";"FLJ40722";" 8.63";"0.822";"0.0819";"0.0544";"0.0414"
"2179";"ILMN_1911594";"";" 4.77";"0.822";"0.0808";"0.0538";"0.0430"
"2180";"ILMN_3304555";"LOC728324";" 9.22";"0.822";"0.0406";"0.0469";"0.0902"
"2181";"ILMN_1788149";"NEK11";" 6.05";"0.822";"0.0965";"0.0405";"0.0407"
"2182";"ILMN_1710768";"ZNF673";" 4.98";"0.822";"0.0803";"0.0518";"0.0457"
"2183";"ILMN_1704022";"TMEM207";" 4.83";"0.822";"0.0596";"0.0768";"0.0414"
"2184";"ILMN_1778177";"ZNF207";"11.02";"0.822";"0.0938";"0.0419";"0.0422"
"2185";"ILMN_3304003";"LOC729208";"10.01";"0.822";"0.0485";"0.0556";"0.0738"
"2186";"ILMN_1792672";"POLR2D";" 8.70";"0.822";"0.0930";"0.0436";"0.0413"
"2187";"ILMN_2129349";"TSSC1";" 8.89";"0.822";"0.0669";"0.0655";"0.0455"
"2188";"ILMN_1720988";"ABI2";" 5.97";"0.822";"0.0406";"0.0593";"0.0780"
"2189";"ILMN_1770667";"HECA";" 5.57";"0.822";"0.0412";"0.0938";"0.0429"
"2190";"ILMN_1769158";"ISOC2";" 9.71";"0.822";"0.0451";"0.0852";"0.0477"
"2191";"ILMN_3201643";"LOC100133019";" 6.44";"0.822";"0.0502";"0.0710";"0.0568"
"2192";"ILMN_3231881";"LOC728026";" 9.65";"0.822";"0.0470";"0.0619";"0.0690"
"2193";"ILMN_1827283";"LOC730704";" 5.21";"0.822";"0.0855";"0.0445";"0.0480"
"2194";"ILMN_1761911";"SCYL1BP1";" 6.79";"0.822";"0.0406";"0.0966";"0.0407"
"2195";"ILMN_1748488";"TXNL4B";" 5.63";"0.822";"0.0467";"0.0531";"0.0782"
"2196";"ILMN_1802519";"VPS36";" 6.46";"0.822";"0.0455";"0.0890";"0.0435"
"2197";"ILMN_2399208";"SCAMP3";" 5.05";"0.822";"0.0808";"0.0422";"0.0551"
"2198";"ILMN_1749078";"TIMP2";" 5.74";"0.822";"0.0410";"0.0946";"0.0425"
"2199";"ILMN_1677303";"C5orf42";" 4.94";"0.822";"0.0717";"0.0599";"0.0465"
"2200";"ILMN_1753925";"LOC645609";" 6.19";"0.822";"0.0461";"0.0428";"0.0892"
"2201";"ILMN_1743714";"CARD10";" 9.85";"0.822";"0.0780";"0.0512";"0.0490"
"2202";"ILMN_1750003";"CD200R1";" 6.97";"0.822";"0.0408";"0.0523";"0.0852"
"2203";"ILMN_1674014";"LOC653878";" 4.83";"0.822";"0.0917";"0.0461";"0.0405"
"2204";"ILMN_1679731";"SLC15A4";" 6.54";"0.822";"0.0963";"0.0410";"0.0411"
"2205";"ILMN_1763326";"C5orf25";" 7.81";"0.822";"0.0585";"0.0406";"0.0793"
"2206";"ILMN_1755383";"LRRC1";" 9.66";"0.822";"0.0562";"0.0690";"0.0532"
"2207";"ILMN_1788878";"MORN4";" 5.63";"0.822";"0.0534";"0.0406";"0.0845"
"2208";"ILMN_1683273";"SNAPC5";" 6.66";"0.822";"0.0698";"0.0405";"0.0681"
"2209";"ILMN_1660900";"SNORA7B";" 5.86";"0.822";"0.0548";"0.0414";"0.0822"
"2210";"ILMN_1784977";"DOHH";" 6.37";"0.822";"0.0910";"0.0439";"0.0436"
"2211";"ILMN_2076250";"GPBP1L1";" 7.17";"0.822";"0.0749";"0.0410";"0.0626"
"2212";"ILMN_3284084";"LOC392522";" 5.70";"0.822";"0.0728";"0.0454";"0.0603"
"2213";"ILMN_1661255";"LOC650526";" 5.13";"0.822";"0.0406";"0.0742";"0.0636"
"2214";"ILMN_2141452";"RPL18A";"13.77";"0.822";"0.0873";"0.0504";"0.0409"
"2215";"ILMN_2392635";"ABCF1";" 8.93";"0.821";"0.0905";"0.0413";"0.0469"
"2216";"ILMN_1673844";"LOC650251";" 5.17";"0.821";"0.0628";"0.0560";"0.0599"
"2217";"ILMN_1667476";"LTBR";"10.13";"0.821";"0.0418";"0.0787";"0.0581"
"2218";"ILMN_1792270";"C10orf46";" 5.93";"0.821";"0.0619";"0.0580";"0.0588"
"2219";"ILMN_3294213";"LOC401098";" 8.78";"0.821";"0.0807";"0.0569";"0.0411"
"2220";"ILMN_3228108";"LOC728693";"12.51";"0.821";"0.0577";"0.0516";"0.0693"
"2221";"ILMN_1729033";"RPL9";" 8.82";"0.821";"0.0542";"0.0410";"0.0836"
"2222";"ILMN_1701386";"STRADB";" 6.68";"0.821";"0.0407";"0.0949";"0.0432"
"2223";"ILMN_2333594";"SUMO2";"11.69";"0.821";"0.0788";"0.0593";"0.0406"
"2224";"ILMN_1686626";"BAT1";"11.00";"0.821";"0.0908";"0.0467";"0.0414"
"2225";"ILMN_1795897";"LOC651075";" 4.89";"0.821";"0.0415";"0.0447";"0.0927"
"2226";"ILMN_1723353";"FAM122A";" 6.99";"0.821";"0.0424";"0.0933";"0.0433"
"2227";"ILMN_1852539";"";" 5.23";"0.821";"0.0703";"0.0634";"0.0453"
"2228";"ILMN_3246255";"LOC100133516";" 8.91";"0.821";"0.0694";"0.0670";"0.0426"
"2229";"ILMN_1758827";"RTN4IP1";" 7.69";"0.821";"0.0407";"0.0405";"0.0978"
"2230";"ILMN_1777479";"CDYL2";" 5.02";"0.821";"0.0800";"0.0541";"0.0450"
"2231";"ILMN_2370976";"FER1L3";" 9.70";"0.821";"0.0618";"0.0733";"0.0440"
"2232";"ILMN_1758173";"TMEM99";" 8.92";"0.821";"0.0407";"0.0434";"0.0950"
"2233";"ILMN_1683243";"VPS45";" 8.18";"0.821";"0.0405";"0.0424";"0.0963"
"2234";"ILMN_1654612";"ZNF589";" 5.72";"0.821";"0.0404";"0.0406";"0.0981"
"2235";"ILMN_3182275";"FAM160B1";" 5.00";"0.821";"0.0633";"0.0462";"0.0698"
"2236";"ILMN_2393573";"RASSF1";" 5.35";"0.821";"0.0597";"0.0469";"0.0726"
"2237";"ILMN_1710906";"RNF145";" 8.16";"0.821";"0.0819";"0.0406";"0.0566"
"2238";"ILMN_1808157";"RUNDC3B";" 5.28";"0.821";"0.0740";"0.0411";"0.0641"
"2239";"ILMN_1745368";"TMEM50A";" 6.46";"0.821";"0.0574";"0.0433";"0.0785"
"2240";"ILMN_1761963";"C4orf29";" 5.18";"0.821";"0.0404";"0.0966";"0.0423"
"2241";"ILMN_3243549";"LOC100133465";"13.77";"0.821";"0.0885";"0.0500";"0.0408"
"2242";"ILMN_1685742";"NIPA2";" 5.76";"0.821";"0.0467";"0.0639";"0.0686"
"2243";"ILMN_2290679";"TIRAP";" 4.87";"0.821";"0.0846";"0.0421";"0.0526"
"2244";"ILMN_2246956";"BCL2";" 6.93";"0.821";"0.0428";"0.0419";"0.0948"
"2245";"ILMN_1731984";"HMGN3";" 5.07";"0.821";"0.0427";"0.0408";"0.0958"
"2246";"ILMN_3208881";"LOC647597";" 5.89";"0.821";"0.0775";"0.0408";"0.0611"
"2247";"ILMN_1754315";"MMAA";" 5.11";"0.821";"0.0686";"0.0405";"0.0703"
"2248";"ILMN_1680945";"PTPN20";" 5.89";"0.821";"0.0405";"0.0760";"0.0630"
"2249";"ILMN_1731203";"RNF213";" 6.30";"0.821";"0.0541";"0.0457";"0.0797"
"2250";"ILMN_1765409";"STAM";" 8.03";"0.821";"0.0419";"0.0413";"0.0962"
"2251";"ILMN_1688629";"ZNF274";" 7.52";"0.821";"0.0944";"0.0404";"0.0446"
"2252";"ILMN_1661596";"FLVCR1";" 5.65";"0.821";"0.0570";"0.0563";"0.0661"
"2253";"ILMN_1772719";"GPN1";"10.35";"0.821";"0.0458";"0.0912";"0.0425"
"2254";"ILMN_1865764";"";" 7.34";"0.821";"0.0406";"0.0901";"0.0488"
"2255";"ILMN_1787823";"LOC727948";" 4.88";"0.821";"0.0485";"0.0446";"0.0864"
"2256";"ILMN_1694950";"MRPL28";" 6.36";"0.821";"0.0490";"0.0742";"0.0563"
"2257";"ILMN_1778360";"PYGB";" 9.68";"0.821";"0.0450";"0.0864";"0.0481"
"2258";"ILMN_2115434";"RAB32";"10.03";"0.821";"0.0523";"0.0467";"0.0806"
"2259";"ILMN_1776674";"SAC3D1";" 8.85";"0.821";"0.0409";"0.0852";"0.0534"
"2260";"ILMN_1735231";"ZSWIM4";" 5.17";"0.821";"0.0410";"0.0947";"0.0437"
"2261";"ILMN_1668179";"HNRNPF";" 6.65";"0.820";"0.0930";"0.0448";"0.0418"
"2262";"ILMN_1738589";"MGLL";" 5.58";"0.820";"0.0528";"0.0777";"0.0491"
"2263";"ILMN_1762262";"PKIA";" 6.98";"0.820";"0.0671";"0.0579";"0.0545"
"2264";"ILMN_1763739";"SOLH";" 6.21";"0.820";"0.0840";"0.0414";"0.0541"
"2265";"ILMN_2330966";"PTK2B";" 7.23";"0.820";"0.0430";"0.0482";"0.0885"
"2266";"ILMN_1799848";"ANKRD22";" 6.33";"0.820";"0.0571";"0.0404";"0.0823"
"2267";"ILMN_1742400";"CEP350";" 7.04";"0.820";"0.0427";"0.0950";"0.0421"
"2268";"ILMN_1739847";"EIF3D";"11.77";"0.820";"0.0534";"0.0859";"0.0405"
"2269";"ILMN_1661755";"FAM129B";"12.56";"0.820";"0.0745";"0.0542";"0.0511"
"2270";"ILMN_1655525";"FLCN";" 5.06";"0.820";"0.0515";"0.0548";"0.0734"
"2271";"ILMN_1783156";"LOC650832";" 9.31";"0.820";"0.0406";"0.0967";"0.0425"
"2272";"ILMN_1730620";"ARRB1";" 5.44";"0.820";"0.0468";"0.0919";"0.0412"
