"";"ID";"SYMBOL";"a0Mean";"Posterior_class_a";"Posterior_class_b";"Posterior_class_c";"Posterior_class_d"
"64";"ILMN_2092232";"TSR1";" 5.10";"0.868";"0.0427";"0.0438";"0.0458"
"65";"ILMN_1686804";"CCRK";" 5.43";"0.868";"0.0441";"0.0454";"0.0430"
"66";"ILMN_3248614";"LOC152217";" 5.56";"0.868";"0.0428";"0.0453";"0.0445"
"67";"ILMN_3238053";"LOC100129211";" 9.13";"0.867";"0.0427";"0.0456";"0.0444"
"68";"ILMN_1692748";"BNC1";" 5.79";"0.867";"0.0437";"0.0464";"0.0427"
"69";"ILMN_3282395";"LOC646966";" 7.71";"0.867";"0.0433";"0.0469";"0.0427"
"70";"ILMN_1802627";"PSMG3";" 6.95";"0.867";"0.0431";"0.0463";"0.0434"
"71";"ILMN_2115949";"ZNF394";"10.17";"0.867";"0.0427";"0.0432";"0.0469"
"72";"ILMN_3260180";"FLJ25363";" 7.82";"0.867";"0.0471";"0.0431";"0.0427"
"73";"ILMN_1789106";"IPP";" 6.07";"0.867";"0.0430";"0.0448";"0.0452"
"74";"ILMN_3236637";"PIP4K2A";" 7.83";"0.867";"0.0464";"0.0438";"0.0427"
"75";"ILMN_2408645";"LOC653566";" 8.55";"0.867";"0.0438";"0.0463";"0.0430"
"76";"ILMN_1658858";"SP140L";" 5.48";"0.867";"0.0473";"0.0429";"0.0428"
"77";"ILMN_2336130";"SULT1A4";" 5.35";"0.867";"0.0428";"0.0472";"0.0432"
"78";"ILMN_2264205";"ZBTB8A";" 6.93";"0.867";"0.0427";"0.0445";"0.0461"
"79";"ILMN_1726410";"APRT";" 9.29";"0.867";"0.0466";"0.0434";"0.0433"
"80";"ILMN_1788802";"GCH1";" 5.19";"0.867";"0.0473";"0.0429";"0.0431"
"81";"ILMN_1680703";"MRPS15";"10.40";"0.867";"0.0459";"0.0448";"0.0428"
"82";"ILMN_1804884";"C22orf39";" 6.64";"0.866";"0.0435";"0.0474";"0.0427"
"83";"ILMN_1749396";"LSR";" 8.24";"0.866";"0.0481";"0.0428";"0.0427"
"84";"ILMN_1690252";"ALKBH2";" 6.08";"0.866";"0.0475";"0.0429";"0.0433"
"85";"ILMN_2317463";"INTS1";" 8.29";"0.866";"0.0442";"0.0460";"0.0435"
"86";"ILMN_3248247";"LOC100134634";" 5.66";"0.866";"0.0438";"0.0450";"0.0450"
"87";"ILMN_1673421";"LOC440704";" 8.55";"0.866";"0.0458";"0.0438";"0.0441"
"88";"ILMN_3236259";"PPIAL4A";"13.90";"0.866";"0.0474";"0.0429";"0.0434"
"89";"ILMN_2330597";"PQLC2";" 5.31";"0.866";"0.0460";"0.0430";"0.0448"
"90";"ILMN_1665065";"SERINC3";" 5.36";"0.866";"0.0483";"0.0430";"0.0426"
"91";"ILMN_1681741";"C1orf31";" 6.44";"0.866";"0.0482";"0.0431";"0.0427"
"92";"ILMN_1664921";"PPP6C";"10.93";"0.866";"0.0464";"0.0434";"0.0442"
"93";"ILMN_1747556";"CDK9";" 8.89";"0.866";"0.0442";"0.0440";"0.0460"
"94";"ILMN_2227495";"ZNF549";"11.44";"0.866";"0.0462";"0.0449";"0.0431"
"95";"ILMN_1652806";"ATP5J";" 8.19";"0.866";"0.0440";"0.0428";"0.0476"
"96";"ILMN_1689473";"ATP6V1H";" 5.26";"0.866";"0.0448";"0.0452";"0.0443"
"97";"ILMN_1679867";"LOC642255";" 6.32";"0.866";"0.0437";"0.0463";"0.0443"
"98";"ILMN_1771862";"TXNDC11";" 6.13";"0.866";"0.0428";"0.0451";"0.0463"
"99";"ILMN_3241237";"LOC100132503";" 5.60";"0.866";"0.0442";"0.0426";"0.0476"
"100";"ILMN_2115490";"NBPF20";"10.73";"0.866";"0.0475";"0.0427";"0.0442"
"101";"ILMN_2110751";"CHRNA5";" 8.93";"0.866";"0.0450";"0.0453";"0.0443"
"102";"ILMN_1688666";"HIST1H2BH";" 7.36";"0.866";"0.0475";"0.0438";"0.0432"
"103";"ILMN_1742163";"LOC441087";"11.50";"0.866";"0.0441";"0.0457";"0.0447"
"104";"ILMN_3219695";"LOC441711";" 5.42";"0.866";"0.0486";"0.0426";"0.0433"
"105";"ILMN_1697175";"TBN";" 4.97";"0.866";"0.0428";"0.0446";"0.0470"
"106";"ILMN_1801223";"WTIP";" 5.87";"0.866";"0.0448";"0.0431";"0.0466"
"107";"ILMN_1714808";"LOC441066";" 4.95";"0.865";"0.0476";"0.0443";"0.0427"
"108";"ILMN_1797566";"SNAP47";" 7.05";"0.865";"0.0431";"0.0483";"0.0431"
"109";"ILMN_1781285";"DUSP1";" 8.79";"0.865";"0.0485";"0.0427";"0.0436"
"110";"ILMN_1726169";"EDF1";"11.91";"0.865";"0.0427";"0.0439";"0.0482"
"111";"ILMN_2229950";"MPHOSPH10";" 4.86";"0.865";"0.0447";"0.0468";"0.0433"
"112";"ILMN_3181480";"FLJ36131";" 9.97";"0.865";"0.0473";"0.0439";"0.0437"
"113";"ILMN_1744006";"GFOD2";" 6.04";"0.865";"0.0488";"0.0434";"0.0428"
"114";"ILMN_1671661";"HSD17B7";"10.02";"0.865";"0.0432";"0.0463";"0.0454"
"115";"ILMN_1733560";"SPG21";" 5.69";"0.865";"0.0450";"0.0458";"0.0441"
"116";"ILMN_2179726";"C16orf93";" 7.06";"0.865";"0.0469";"0.0448";"0.0432"
"117";"ILMN_1717403";"C9orf100";" 6.37";"0.865";"0.0479";"0.0443";"0.0428"
"118";"ILMN_1725246";"COG8";" 5.15";"0.865";"0.0427";"0.0465";"0.0458"
"119";"ILMN_1740466";"FAM46A";" 7.84";"0.865";"0.0428";"0.0466";"0.0456"
"120";"ILMN_2370135";"HNRNPU";" 8.31";"0.865";"0.0432";"0.0430";"0.0488"
"121";"ILMN_1721349";"MAGT1";" 9.57";"0.865";"0.0473";"0.0433";"0.0444"
"122";"ILMN_1764871";"PIGP";" 8.69";"0.865";"0.0451";"0.0460";"0.0439"
"123";"ILMN_2334112";"WHSC1";" 6.05";"0.865";"0.0426";"0.0486";"0.0439"
"124";"ILMN_1766185";"AXIN1";" 7.94";"0.865";"0.0443";"0.0480";"0.0428"
"125";"ILMN_3278906";"LOC644464";"13.79";"0.865";"0.0426";"0.0444";"0.0481"
"126";"ILMN_1716368";"CCDC111";" 5.74";"0.865";"0.0443";"0.0446";"0.0464"
"127";"ILMN_1893026";"";" 4.75";"0.865";"0.0447";"0.0479";"0.0426"
"128";"ILMN_2057566";"PGP";" 5.83";"0.865";"0.0445";"0.0468";"0.0438"
"129";"ILMN_1736068";"CNOT8";" 7.18";"0.865";"0.0494";"0.0431";"0.0428"
"130";"ILMN_2148012";"EPR1";" 5.02";"0.865";"0.0428";"0.0436";"0.0489"
"131";"ILMN_3277511";"LOC100133315";" 4.96";"0.865";"0.0426";"0.0427";"0.0500"
"132";"ILMN_2202930";"PCYT2";" 5.68";"0.865";"0.0429";"0.0449";"0.0475"
"133";"ILMN_3237534";"LOC100133517";" 6.12";"0.865";"0.0479";"0.0427";"0.0448"
"134";"ILMN_1671039";"GALNT3";" 5.78";"0.865";"0.0430";"0.0492";"0.0433"
"135";"ILMN_1841133";"";" 5.08";"0.865";"0.0459";"0.0437";"0.0459"
"136";"ILMN_1654735";"SLCO3A1";" 8.30";"0.865";"0.0441";"0.0481";"0.0433"
"137";"ILMN_1681855";"TBC1D25";" 5.20";"0.865";"0.0437";"0.0454";"0.0464"
"138";"ILMN_1663033";"TMEM129";" 6.01";"0.865";"0.0451";"0.0441";"0.0463"
"139";"ILMN_2093748";"ZNF669";" 6.95";"0.865";"0.0437";"0.0433";"0.0485"
"140";"ILMN_2243516";"C11orf63";" 6.74";"0.864";"0.0443";"0.0485";"0.0428"
"141";"ILMN_2073520";"C2orf21";" 4.87";"0.864";"0.0470";"0.0456";"0.0430"
"142";"ILMN_1804735";"CBS";" 8.18";"0.864";"0.0426";"0.0501";"0.0429"
"143";"ILMN_1675117";"HSD17B11";" 5.86";"0.864";"0.0464";"0.0426";"0.0467"
"144";"ILMN_1662097";"SLC25A43";" 6.43";"0.864";"0.0430";"0.0444";"0.0482"
"145";"ILMN_1687592";"WWC3";" 7.57";"0.864";"0.0453";"0.0432";"0.0470"
"146";"ILMN_1830598";"";" 5.82";"0.864";"0.0430";"0.0428";"0.0500"
"147";"ILMN_1681888";"PRKAR2A";" 5.76";"0.864";"0.0429";"0.0498";"0.0430"
"148";"ILMN_1661653";"DET1";" 6.53";"0.864";"0.0443";"0.0484";"0.0431"
"149";"ILMN_1671291";"EIF3I";"11.42";"0.864";"0.0436";"0.0490";"0.0432"
"150";"ILMN_2385866";"PHF1";" 5.61";"0.864";"0.0460";"0.0465";"0.0433"
"151";"ILMN_1672589";"SEMA4B";"10.06";"0.864";"0.0477";"0.0451";"0.0430"
"152";"ILMN_2313889";"ZNF682";"10.70";"0.864";"0.0465";"0.0460";"0.0434"
"153";"ILMN_1684158";"GPT2";" 8.21";"0.864";"0.0428";"0.0435";"0.0495"
"154";"ILMN_1736077";"LIAS";" 7.70";"0.864";"0.0496";"0.0438";"0.0425"
"155";"ILMN_3261345";"LOC100130053";" 8.59";"0.864";"0.0435";"0.0499";"0.0426"
"156";"ILMN_1684663";"ZDHHC13";" 7.48";"0.864";"0.0425";"0.0426";"0.0508"
"157";"ILMN_2229032";"NME6";" 6.88";"0.864";"0.0431";"0.0501";"0.0428"
"158";"ILMN_1753353";"SLBP";"10.07";"0.864";"0.0445";"0.0482";"0.0433"
"159";"ILMN_2262444";"PDE7A";" 6.06";"0.864";"0.0496";"0.0430";"0.0436"
"160";"ILMN_1687201";"APOL6";" 5.16";"0.864";"0.0471";"0.0466";"0.0425"
"161";"ILMN_2130078";"CDKN2AIPNL";"12.15";"0.864";"0.0458";"0.0477";"0.0427"
"162";"ILMN_1744046";"DIAPH2";" 6.50";"0.864";"0.0470";"0.0430";"0.0462"
"163";"ILMN_3235410";"HIATL2";"10.27";"0.864";"0.0465";"0.0471";"0.0426"
"164";"ILMN_1773849";"ATP6V0C";" 7.28";"0.864";"0.0483";"0.0446";"0.0434"
"165";"ILMN_1653496";"GLUL";" 5.31";"0.864";"0.0438";"0.0453";"0.0472"
"166";"ILMN_1908135";"";" 4.95";"0.864";"0.0425";"0.0433";"0.0505"
"167";"ILMN_1766110";"PHF6";" 5.15";"0.864";"0.0483";"0.0454";"0.0426"
"168";"ILMN_1662681";"AMBRA1";" 5.22";"0.864";"0.0495";"0.0426";"0.0443"
"169";"ILMN_1752953";"BCL2L12";"10.37";"0.864";"0.0436";"0.0503";"0.0426"
"170";"ILMN_3290380";"LOC387703";"10.37";"0.864";"0.0451";"0.0437";"0.0476"
"171";"ILMN_2398077";"MEIS2";" 5.39";"0.864";"0.0430";"0.0462";"0.0472"
"172";"ILMN_1713679";"MREG";" 5.28";"0.864";"0.0501";"0.0438";"0.0425"
"173";"ILMN_1732318";"PTK2B";" 5.45";"0.864";"0.0483";"0.0427";"0.0454"
"174";"ILMN_1744914";"FUCA2";" 8.78";"0.864";"0.0427";"0.0482";"0.0456"
"175";"ILMN_1741334";"IKZF4";" 5.31";"0.864";"0.0427";"0.0511";"0.0427"
"176";"ILMN_1680692";"NUCKS1";" 7.28";"0.864";"0.0425";"0.0442";"0.0498"
"177";"ILMN_1792489";"ARPC2";"12.75";"0.863";"0.0473";"0.0434";"0.0459"
"178";"ILMN_1659682";"GALK2";" 5.65";"0.863";"0.0471";"0.0427";"0.0468"
"179";"ILMN_1749243";"BANF1";" 6.57";"0.863";"0.0492";"0.0436";"0.0439"
"180";"ILMN_3238183";"BMS1P5";"11.00";"0.863";"0.0443";"0.0492";"0.0431"
"181";"ILMN_2207988";"SERPINI1";" 4.98";"0.863";"0.0471";"0.0462";"0.0435"
"182";"ILMN_1694587";"EEF1B2";"12.30";"0.863";"0.0433";"0.0500";"0.0435"
"183";"ILMN_3301585";"LOC730993";" 6.49";"0.863";"0.0510";"0.0425";"0.0432"
"184";"ILMN_1690077";"PPM1A";" 5.45";"0.863";"0.0466";"0.0427";"0.0476"
"185";"ILMN_3246608";"CENPV";" 7.71";"0.863";"0.0472";"0.0466";"0.0431"
