"";"ID";"SYMBOL";"b1Mean";"b0Mean";"b1b0log2FC";"b1stderr";"b0stderr";"b0b1stderr";"Posterior_class_a";"Posterior_class_b";"Posterior_class_c";"Posterior_class_d"
"1902";"ILMN_2342695";"PDGFA";" 6.04";" 5.77";" 0.2702";"0.01775";"0.07389";"0.07599";"0.2100";"0.744";"0.0324";"0.0134"
"1903";"ILMN_3236858";"NYNRIN";" 7.40";" 8.99";"-1.5899";"0.36089";"0.10999";"0.37728";"0.0939";"0.744";"0.0932";"0.0689"
"1904";"ILMN_1676731";"C17orf65";" 6.27";" 6.79";"-0.5217";"0.05913";"0.12305";"0.13652";"0.1502";"0.744";"0.0833";"0.0226"
"1905";"ILMN_1757845";"SPIRE1";" 9.86";" 9.12";" 0.7414";"0.14276";"0.10773";"0.17884";"0.1017";"0.744";"0.1152";"0.0392"
"1906";"ILMN_3247018";"SNORA67";" 8.82";" 8.13";" 0.6862";"0.15296";"0.07995";"0.17259";"0.1244";"0.744";"0.0585";"0.0732"
"1907";"ILMN_1662587";"PNPLA7";" 5.02";" 5.76";"-0.7478";"0.18199";"0.05943";"0.19145";"0.1354";"0.744";"0.0383";"0.0828"
"1908";"ILMN_1759396";"NNT";" 5.54";" 6.42";"-0.8843";"0.06805";"0.23741";"0.24697";"0.2030";"0.743";"0.0335";"0.0203"
"1909";"ILMN_1749368";"HIST1H3H";" 6.39";" 6.94";"-0.5448";"0.09238";"0.09446";"0.13213";"0.1043";"0.743";"0.1252";"0.0272"
"1910";"ILMN_1734288";"DUSP18";" 5.60";" 6.23";"-0.6269";"0.11300";"0.06589";"0.13080";"0.0492";"0.743";"0.1966";"0.0112"
"1911";"ILMN_1730229";"CGNL1";" 7.53";" 8.00";"-0.4662";"0.10437";"0.08331";"0.13354";"0.2277";"0.743";"0.0162";"0.0132"
"1912";"ILMN_1738179";"FOXP1";" 5.37";" 4.95";" 0.4196";"0.09709";"0.02980";"0.10156";"0.1032";"0.743";"0.0749";"0.0794"
"1913";"ILMN_1790549";"TSPAN3";"11.37";"11.01";" 0.3582";"0.08177";"0.04156";"0.09172";"0.1352";"0.742";"0.0470";"0.0754"
"1914";"ILMN_1674522";"HIGD1A";"10.85";"10.22";" 0.6316";"0.14906";"0.02882";"0.15182";"0.0998";"0.742";"0.0734";"0.0846"
"1915";"ILMN_1679093";"ZNF581";" 9.71";"10.22";"-0.5115";"0.08540";"0.09474";"0.12755";"0.1191";"0.742";"0.1071";"0.0317"
"1916";"ILMN_1767894";"POLB";" 8.66";" 8.30";" 0.3667";"0.07558";"0.06379";"0.09890";"0.1725";"0.742";"0.0351";"0.0504"
"1917";"ILMN_1653708";"CORO1B";" 8.87";" 9.36";"-0.4959";"0.08601";"0.09424";"0.12759";"0.1382";"0.742";"0.0784";"0.0416"
"1918";"ILMN_2038775";"TUBB2A";" 6.74";" 6.35";" 0.3881";"0.08616";"0.07021";"0.11114";"0.2269";"0.742";"0.0166";"0.0150"
"1919";"ILMN_1730765";"DUSP22";" 5.38";" 5.93";"-0.5559";"0.11478";"0.05357";"0.12667";"0.0766";"0.741";"0.1458";"0.0362"
"1920";"ILMN_2125374";"CMAS";"10.11";" 9.68";" 0.4318";"0.07405";"0.05589";"0.09277";"0.0570";"0.741";"0.1914";"0.0103"
"1921";"ILMN_1699676";"C14orf147";" 7.45";" 8.18";"-0.7259";"0.15779";"0.12928";"0.20399";"0.2083";"0.741";"0.0216";"0.0290"
"1922";"ILMN_1768719";"RDH11";"11.15";"10.96";" 0.1931";"0.04497";"0.01626";"0.04782";"0.1151";"0.741";"0.0605";"0.0834"
"1923";"ILMN_1655191";"CASZ1";" 8.29";" 8.94";"-0.6488";"0.14181";"0.01536";"0.14264";"0.0640";"0.741";"0.1564";"0.0385"
"1924";"ILMN_1739032";"TMEM70";" 6.60";" 6.25";" 0.3510";"0.06256";"0.04868";"0.07927";"0.0732";"0.741";"0.1676";"0.0187"
"1925";"ILMN_1778557";"CDC2L5";" 8.41";" 8.27";" 0.1419";"0.03395";"0.01812";"0.03848";"0.1765";"0.740";"0.0278";"0.0553"
"1926";"ILMN_1809141";"ING4";" 5.94";" 6.80";"-0.8541";"0.21736";"0.05932";"0.22531";"0.1553";"0.740";"0.0298";"0.0747"
