"";"ID";"SYMBOL";"c1Mean";"c0Mean";"c1c0log2FC";"c1stderr";"c0stderr";"c0c1stderr";"Posterior_class_a";"Posterior_class_b";"Posterior_class_c";"Posterior_class_d"
"1003";"ILMN_1730454";"FOLR3";" 4.95";" 5.43";"-0.4769";"0.076555";"0.07679";"0.10843";"0.1563";"0.0428";"0.787";"0.0140"
"1004";"ILMN_3301740";"LOC729887";" 7.72";" 8.23";"-0.5068";"0.009269";"0.07183";"0.07243";"0.0578";"0.1452";"0.786";"0.0107"
"1005";"ILMN_3203098";"LOC400836";" 6.68";" 6.06";" 0.6224";"0.175282";"0.05428";"0.18349";"0.0628";"0.0551";"0.786";"0.0958"
"1006";"ILMN_2344007";"SIP1";" 8.04";" 7.69";" 0.3564";"0.097754";"0.04061";"0.10585";"0.1041";"0.1026";"0.786";"0.0073"
"1007";"ILMN_1711702";"CLEC2D";" 5.59";" 5.09";" 0.4997";"0.058956";"0.08313";"0.10192";"0.1534";"0.0186";"0.786";"0.0422"
"1008";"ILMN_1790106";"PLP1";" 5.21";" 4.93";" 0.2791";"0.015154";"0.04961";"0.05187";"0.1794";"0.0129";"0.786";"0.0220"
"1009";"ILMN_1771411";"ALG6";" 7.58";" 7.16";" 0.4214";"0.040767";"0.07024";"0.08122";"0.1454";"0.0337";"0.785";"0.0358"
"1010";"ILMN_1664516";"CENPF";" 8.66";" 7.55";" 1.1161";"0.065928";"0.19307";"0.20402";"0.1594";"0.0240";"0.785";"0.0317"
"1011";"ILMN_2063584";"CLIC4";" 6.31";" 5.57";" 0.7421";"0.045811";"0.12431";"0.13248";"0.1378";"0.0604";"0.785";"0.0169"
"1012";"ILMN_2397627";"UPF3B";" 8.33";" 7.26";" 1.0680";"0.139971";"0.18212";"0.22970";"0.1775";"0.0204";"0.785";"0.0171"
"1013";"ILMN_1690487";"PCM1";" 9.18";" 8.03";" 1.1503";"0.066171";"0.19861";"0.20934";"0.1576";"0.0384";"0.785";"0.0193"
"1014";"ILMN_3202315";"LOC643779";" 6.35";" 6.89";"-0.5372";"0.104491";"0.06786";"0.12459";"0.0741";"0.1354";"0.784";"0.0063"
"1015";"ILMN_1739641";"MTMR3";" 9.09";" 9.51";"-0.4162";"0.093154";"0.05091";"0.10616";"0.0831";"0.0736";"0.784";"0.0593"
"1016";"ILMN_1677041";"CHUK";" 7.12";" 6.32";" 0.7967";"0.190672";"0.09365";"0.21243";"0.0835";"0.0631";"0.784";"0.0695"
