"";"ID";"SYMBOL";"c1Mean";"c0Mean";"c1c0log2FC";"c1stderr";"c0stderr";"c0c1stderr";"Posterior_class_a";"Posterior_class_b";"Posterior_class_c";"Posterior_class_d"
"1";"ILMN_1767651";"TECPR1";" 5.92";" 6.57";"-0.6550";"0.012638";"0.02053";"0.02411";"0.0000";"0.0000";"1.000";"0.0000"
"2";"ILMN_1756631";"ZNF526";" 6.45";" 6.87";"-0.4146";"0.019517";"0.00623";"0.02049";"0.0000";"0.0000";"1.000";"0.0000"
"3";"ILMN_2327090";"MAEA";" 7.94";" 8.34";"-0.4067";"0.029235";"0.00913";"0.03063";"0.0000";"0.0000";"1.000";"0.0000"
"4";"ILMN_1654689";"ZNF197";" 5.63";" 5.35";" 0.2782";"0.000903";"0.00977";"0.00981";"0.0000";"0.0000";"1.000";"0.0000"
"5";"ILMN_1737833";"ATN1";" 8.85";" 9.17";"-0.3217";"0.003438";"0.01639";"0.01674";"0.0002";"0.0000";"1.000";"0.0001"
"6";"ILMN_2399503";"UBN1";" 9.02";" 9.32";"-0.3025";"0.002652";"0.01422";"0.01446";"0.0002";"0.0001";"1.000";"0.0000"
"7";"ILMN_1753885";"YTHDF1";" 9.34";" 9.53";"-0.1892";"0.008979";"0.00861";"0.01244";"0.0002";"0.0001";"1.000";"0.0001"
"8";"ILMN_1677785";"ZNF559";" 6.61";" 6.13";" 0.4846";"0.009979";"0.02235";"0.02448";"0.0001";"0.0001";"1.000";"0.0000"
"9";"ILMN_1696066";"CARS";" 7.35";" 6.94";" 0.4072";"0.011696";"0.02006";"0.02322";"0.0002";"0.0002";"1.000";"0.0001"
"10";"ILMN_3249331";"LOC100133482";" 5.41";" 5.93";"-0.5219";"0.030572";"0.02543";"0.03977";"0.0003";"0.0001";"1.000";"0.0001"
"11";"ILMN_3284584";"LOC390345";"12.66";"13.02";"-0.3657";"0.012462";"0.01884";"0.02259";"0.0003";"0.0001";"1.000";"0.0001"
"12";"ILMN_1701655";"SLC24A6";" 7.11";" 7.52";"-0.4082";"0.002629";"0.02177";"0.02193";"0.0003";"0.0001";"1.000";"0.0001"
"13";"ILMN_1674985";"TMEM51";" 8.47";" 9.09";"-0.6233";"0.007421";"0.03378";"0.03459";"0.0004";"0.0002";"0.999";"0.0001"
"14";"ILMN_2275533";"DIAPH3";" 7.56";" 6.94";" 0.6113";"0.064657";"0.02113";"0.06802";"0.0004";"0.0002";"0.999";"0.0002"
"15";"ILMN_1811836";"DYNC2LI1";" 7.11";" 6.59";" 0.5165";"0.032672";"0.02603";"0.04177";"0.0004";"0.0001";"0.999";"0.0001"
"16";"ILMN_1738468";"KEL";" 5.78";" 6.76";"-0.9875";"0.036845";"0.05392";"0.06531";"0.0005";"0.0001";"0.999";"0.0001"
"17";"ILMN_2401769";"PHF14";" 6.81";" 6.01";" 0.8003";"0.036002";"0.04364";"0.05658";"0.0005";"0.0001";"0.999";"0.0001"
"18";"ILMN_1695645";"CETN2";"11.37";"10.98";" 0.3831";"0.003748";"0.02126";"0.02158";"0.0004";"0.0003";"0.999";"0.0001"
"19";"ILMN_3257004";"LOC100130476";" 5.62";" 5.25";" 0.3738";"0.004752";"0.02157";"0.02209";"0.0005";"0.0002";"0.999";"0.0001"
"20";"ILMN_1670064";"C1orf210";" 4.79";" 5.22";"-0.4241";"0.015012";"0.02323";"0.02766";"0.0004";"0.0005";"0.999";"0.0001"
"21";"ILMN_1713088";"MSI2";" 7.50";" 7.65";"-0.1423";"0.013375";"0.00638";"0.01482";"0.0006";"0.0002";"0.999";"0.0002"
"22";"ILMN_1781135";"STAM2";" 6.42";" 5.65";" 0.7708";"0.018344";"0.04459";"0.04822";"0.0005";"0.0004";"0.999";"0.0001"
"23";"ILMN_2263466";"ACADVL";" 5.11";" 5.40";"-0.2873";"0.003992";"0.01777";"0.01821";"0.0008";"0.0002";"0.999";"0.0002"
"24";"ILMN_2158336";"SH3GLB2";"10.48";"10.74";"-0.2670";"0.006815";"0.01572";"0.01713";"0.0006";"0.0005";"0.999";"0.0001"
"25";"ILMN_1782257";"METT11D1";" 9.14";" 9.58";"-0.4463";"0.027581";"0.02522";"0.03737";"0.0008";"0.0003";"0.999";"0.0002"
"26";"ILMN_2382505";"SLC22A18";" 7.30";" 7.72";"-0.4166";"0.049257";"0.01649";"0.05194";"0.0008";"0.0002";"0.999";"0.0004"
"27";"ILMN_1685371";"SUMF2";" 8.38";" 9.13";"-0.7529";"0.015397";"0.04572";"0.04825";"0.0007";"0.0004";"0.999";"0.0001"
"28";"ILMN_1770742";"TMEM55B";" 7.54";" 7.93";"-0.3892";"0.006060";"0.02483";"0.02556";"0.0009";"0.0002";"0.999";"0.0002"
"29";"ILMN_1804953";"CCDC18";" 5.89";" 4.98";" 0.9065";"0.060864";"0.05077";"0.07926";"0.0008";"0.0004";"0.999";"0.0003"
"30";"ILMN_2090558";"C2orf25";"11.11";"10.68";" 0.4281";"0.010924";"0.02663";"0.02878";"0.0008";"0.0007";"0.998";"0.0002"
"31";"ILMN_1737124";"PRPF4B";" 5.72";" 5.07";" 0.6513";"0.057508";"0.03431";"0.06696";"0.0009";"0.0004";"0.998";"0.0003"
"32";"ILMN_1705464";"MRPL41";"10.76";"11.08";"-0.3144";"0.033905";"0.01492";"0.03704";"0.0010";"0.0004";"0.998";"0.0004"
"33";"ILMN_1774689";"TUSC3";" 6.18";" 6.55";"-0.3682";"0.020742";"0.02345";"0.03131";"0.0013";"0.0003";"0.998";"0.0002"
"34";"ILMN_1655206";"ZBTB34";" 7.21";" 6.89";" 0.3196";"0.000170";"0.02161";"0.02161";"0.0013";"0.0003";"0.998";"0.0003"
"35";"ILMN_2078389";"SLC4A2";" 6.10";" 6.55";"-0.4573";"0.008466";"0.03094";"0.03208";"0.0013";"0.0003";"0.998";"0.0003"
"36";"ILMN_1799969";"SNAPIN";" 8.13";" 8.52";"-0.3863";"0.013969";"0.02503";"0.02867";"0.0011";"0.0007";"0.998";"0.0003"
"37";"ILMN_1761479";"ZC3HC1";" 8.95";" 9.30";"-0.3466";"0.002458";"0.02201";"0.02214";"0.0009";"0.0011";"0.998";"0.0002"
"38";"ILMN_2221808";"DGCR5";" 5.77";" 6.54";"-0.7703";"0.042830";"0.05059";"0.06629";"0.0015";"0.0003";"0.998";"0.0004"
"39";"ILMN_1738491";"SNX30";" 8.60";" 8.42";" 0.1769";"0.024552";"0.00700";"0.02553";"0.0014";"0.0006";"0.998";"0.0002"
"40";"ILMN_1795454";"CPSF6";" 5.96";" 5.37";" 0.5884";"0.064481";"0.03169";"0.07185";"0.0015";"0.0003";"0.998";"0.0007"
"41";"ILMN_1665212";"EDC4";" 9.31";" 9.69";"-0.3802";"0.002397";"0.02725";"0.02736";"0.0018";"0.0003";"0.998";"0.0004"
"42";"ILMN_2362581";"FNDC3A";" 6.90";" 6.29";" 0.6155";"0.007309";"0.04572";"0.04630";"0.0022";"0.0005";"0.997";"0.0004"
"43";"ILMN_3179371";"HNRNPK";"11.86";"11.61";" 0.2432";"0.003129";"0.01762";"0.01790";"0.0019";"0.0009";"0.997";"0.0004"
"44";"ILMN_1790680";"PDE6D";" 7.92";" 8.46";"-0.5474";"0.058115";"0.03114";"0.06593";"0.0017";"0.0007";"0.997";"0.0007"
"45";"ILMN_2332795";"ZNF16";" 7.55";" 8.10";"-0.5532";"0.071317";"0.02613";"0.07595";"0.0016";"0.0007";"0.997";"0.0008"
"46";"ILMN_1808768";"ROCK1";" 5.91";" 5.13";" 0.7809";"0.049453";"0.05442";"0.07354";"0.0022";"0.0004";"0.997";"0.0007"
"47";"ILMN_1726554";"IREB2";" 7.15";" 6.47";" 0.6786";"0.010684";"0.04532";"0.04656";"0.0012";"0.0020";"0.997";"0.0003"
"48";"ILMN_2045175";"ZNF691";" 4.83";" 5.27";"-0.4429";"0.003590";"0.03226";"0.03246";"0.0019";"0.0011";"0.997";"0.0004"
"49";"ILMN_1682711";"LOC493754";" 5.51";" 5.78";"-0.2725";"0.014262";"0.01803";"0.02299";"0.0015";"0.0019";"0.996";"0.0004"
"50";"ILMN_1741300";"ZNF407";" 7.56";" 6.88";" 0.6762";"0.001436";"0.04898";"0.04901";"0.0019";"0.0017";"0.996";"0.0004"
"51";"ILMN_2061185";"SH2B1";" 5.62";" 5.99";"-0.3726";"0.038753";"0.02241";"0.04477";"0.0020";"0.0014";"0.996";"0.0009"
"52";"ILMN_1662184";"C5orf34";" 7.01";" 6.19";" 0.8125";"0.001380";"0.05671";"0.05672";"0.0015";"0.0026";"0.996";"0.0003"
"53";"ILMN_1763568";"ZDHHC16";"10.60";"10.82";"-0.2182";"0.016908";"0.01565";"0.02304";"0.0029";"0.0006";"0.996";"0.0010"
"54";"ILMN_1719867";"RNF13";" 5.17";" 4.76";" 0.4077";"0.062977";"0.01565";"0.06489";"0.0021";"0.0011";"0.995";"0.0014"
"55";"ILMN_1803819";"IQGAP1";" 9.86";" 9.07";" 0.7965";"0.040857";"0.06209";"0.07432";"0.0034";"0.0008";"0.995";"0.0005"
"56";"ILMN_1805853";"LOC653583";" 6.70";" 7.18";"-0.4894";"0.021334";"0.03613";"0.04196";"0.0024";"0.0018";"0.995";"0.0007"
"57";"ILMN_1705991";"GUSBL1";" 7.21";" 7.47";"-0.2586";"0.038647";"0.01330";"0.04087";"0.0032";"0.0014";"0.995";"0.0003"
"58";"ILMN_2377240";"AKTIP";" 9.66";" 9.24";" 0.4196";"0.006572";"0.03383";"0.03446";"0.0035";"0.0011";"0.995";"0.0007"
"59";"ILMN_1709484";"BLM";" 7.13";" 6.17";" 0.9577";"0.071725";"0.06949";"0.09986";"0.0030";"0.0013";"0.995";"0.0010"
"60";"ILMN_1661717";"TFDP1";"11.03";"11.13";"-0.1094";"0.005317";"0.00804";"0.00964";"0.0025";"0.0021";"0.995";"0.0007"
"61";"ILMN_1694752";"LOC727726";" 6.44";" 5.67";" 0.7681";"0.053421";"0.05702";"0.07813";"0.0031";"0.0019";"0.995";"0.0005"
"62";"ILMN_2380588";"C6orf108";" 9.39";" 9.67";"-0.2861";"0.004768";"0.02327";"0.02376";"0.0037";"0.0012";"0.994";"0.0008"
"63";"ILMN_1790782";"MED16";" 7.87";" 8.27";"-0.3986";"0.007076";"0.03354";"0.03428";"0.0044";"0.0006";"0.994";"0.0008"
"64";"ILMN_1675632";"C21orf37";" 5.19";" 4.89";" 0.2964";"0.033874";"0.01765";"0.03820";"0.0024";"0.0025";"0.994";"0.0011"
"65";"ILMN_2130411";"KDELR1";"10.15";"10.57";"-0.4110";"0.042794";"0.02512";"0.04962";"0.0022";"0.0029";"0.994";"0.0009"
"66";"ILMN_1764851";"TP53RK";" 6.34";" 6.60";"-0.2667";"0.040590";"0.01321";"0.04268";"0.0031";"0.0010";"0.994";"0.0020"
"67";"ILMN_1691760";"FAM45A";" 8.80";" 8.55";" 0.2428";"0.025865";"0.01803";"0.03153";"0.0049";"0.0008";"0.994";"0.0006"
"68";"ILMN_1651684";"KIAA0586";" 6.80";" 6.13";" 0.6638";"0.050174";"0.05073";"0.07135";"0.0039";"0.0011";"0.994";"0.0013"
"69";"ILMN_1701464";"ZNF776";" 5.34";" 5.02";" 0.3251";"0.047452";"0.01688";"0.05036";"0.0030";"0.0014";"0.994";"0.0018"
"70";"ILMN_1676986";"NPIP";" 6.41";" 6.96";"-0.5472";"0.069970";"0.03531";"0.07838";"0.0040";"0.0007";"0.993";"0.0020"
"71";"ILMN_2220184";"GFPT1";" 8.19";" 7.73";" 0.4679";"0.044782";"0.03473";"0.05667";"0.0043";"0.0010";"0.993";"0.0016"
"72";"ILMN_1749253";"TUBD1";" 7.21";" 6.40";" 0.8087";"0.148300";"0.01990";"0.14963";"0.0030";"0.0015";"0.993";"0.0026"
"73";"ILMN_2373632";"IDH3B";"10.18";"10.47";"-0.2955";"0.054273";"0.00856";"0.05494";"0.0033";"0.0011";"0.993";"0.0029"
"74";"ILMN_1737484";"RTN4R";" 7.20";" 7.52";"-0.3158";"0.022819";"0.02462";"0.03357";"0.0041";"0.0021";"0.993";"0.0013"
"75";"ILMN_2415189";"ATP1A1";"12.03";"12.42";"-0.3852";"0.012704";"0.03335";"0.03569";"0.0054";"0.0009";"0.992";"0.0013"
"76";"ILMN_3205162";"LOC646688";"13.24";"13.46";"-0.2225";"0.015231";"0.01836";"0.02386";"0.0053";"0.0015";"0.992";"0.0008"
"77";"ILMN_1717541";"CNTNAP3";" 5.78";" 6.24";"-0.4561";"0.068745";"0.02877";"0.07452";"0.0056";"0.0016";"0.992";"0.0006"
"78";"ILMN_1796113";"BCDIN3D";" 7.76";" 8.22";"-0.4632";"0.002516";"0.03888";"0.03896";"0.0043";"0.0028";"0.992";"0.0008"
"79";"ILMN_1739645";"ANLN";"10.28";" 9.49";" 0.7865";"0.044785";"0.06366";"0.07783";"0.0044";"0.0029";"0.992";"0.0007"
"80";"ILMN_3302139";"LOC729687";" 6.78";" 7.26";"-0.4776";"0.059082";"0.03334";"0.06784";"0.0050";"0.0024";"0.992";"0.0006"
"81";"ILMN_1754272";"GINS3";" 9.63";" 9.90";"-0.2773";"0.044596";"0.01359";"0.04662";"0.0037";"0.0019";"0.992";"0.0025"
"82";"ILMN_1798952";"KDELR3";" 6.87";" 7.35";"-0.4806";"0.000906";"0.04042";"0.04043";"0.0043";"0.0030";"0.992";"0.0009"
"83";"ILMN_1779751";"C7orf55";" 7.20";" 7.69";"-0.4906";"0.038381";"0.03842";"0.05431";"0.0045";"0.0024";"0.992";"0.0015"
"84";"ILMN_1661137";"SH3RF2";" 8.05";" 8.44";"-0.3871";"0.048937";"0.02370";"0.05438";"0.0033";"0.0038";"0.991";"0.0016"
"85";"ILMN_1739946";"VKORC1";" 8.72";" 9.08";"-0.3645";"0.006625";"0.03021";"0.03093";"0.0041";"0.0039";"0.991";"0.0009"
"86";"ILMN_1773312";"INADL";" 5.34";" 4.92";" 0.4132";"0.005463";"0.03601";"0.03642";"0.0053";"0.0026";"0.991";"0.0012"
"87";"ILMN_2363273";"ZNF226";" 7.12";" 7.68";"-0.5605";"0.049429";"0.04194";"0.06482";"0.0040";"0.0037";"0.991";"0.0014"
"88";"ILMN_3215712";"LOC100131609";"12.35";"12.17";" 0.1865";"0.034637";"0.00923";"0.03585";"0.0065";"0.0023";"0.991";"0.0006"
"89";"ILMN_1770665";"HERC4";" 7.40";" 6.35";" 1.0542";"0.108715";"0.08186";"0.13609";"0.0057";"0.0022";"0.990";"0.0022"
"90";"ILMN_1735199";"CIAPIN1";" 8.72";" 9.03";"-0.3109";"0.021229";"0.02443";"0.03236";"0.0041";"0.0056";"0.990";"0.0006"
"91";"ILMN_2079803";"LSM14A";" 8.94";" 8.46";" 0.4844";"0.001435";"0.04208";"0.04210";"0.0052";"0.0041";"0.990";"0.0010"
"92";"ILMN_2064655";"CXorf40A";" 9.13";" 9.44";"-0.3111";"0.005084";"0.02840";"0.02885";"0.0069";"0.0022";"0.990";"0.0013"
"93";"ILMN_1733603";"NDUFC1";"10.20";"10.42";"-0.2260";"0.007321";"0.01827";"0.01968";"0.0037";"0.0057";"0.990";"0.0009"
"94";"ILMN_2331890";"RPL41";"14.28";"14.14";" 0.1309";"0.028655";"0.00294";"0.02881";"0.0072";"0.0028";"0.989";"0.0006"
"95";"ILMN_1767260";"CCDC138";" 6.77";" 5.77";" 0.9954";"0.068024";"0.08358";"0.10776";"0.0057";"0.0035";"0.989";"0.0017"
"96";"ILMN_1758778";"CEP110";" 7.10";" 6.14";" 0.9615";"0.007424";"0.09107";"0.09137";"0.0084";"0.0016";"0.988";"0.0017"
"97";"ILMN_1693227";"ZC3H7A";" 8.63";" 8.26";" 0.3745";"0.073526";"0.01955";"0.07608";"0.0088";"0.0021";"0.988";"0.0008"
"98";"ILMN_1789508";"GTF3C3";" 8.60";" 8.04";" 0.5596";"0.023662";"0.04945";"0.05482";"0.0063";"0.0041";"0.988";"0.0016"
"99";"ILMN_1748883";"CDKN2D";" 6.62";" 6.87";"-0.2452";"0.023598";"0.02117";"0.03170";"0.0084";"0.0027";"0.988";"0.0011"
"100";"ILMN_1773847";"DYNC1I2";" 9.73";" 9.40";" 0.3307";"0.028731";"0.02831";"0.04034";"0.0074";"0.0024";"0.988";"0.0025"
"101";"ILMN_1724059";"GAS2L1";" 5.51";" 6.03";"-0.5240";"0.025602";"0.04720";"0.05370";"0.0072";"0.0040";"0.988";"0.0011"
"102";"ILMN_1804090";"SLC25A10";" 8.93";" 9.26";"-0.3286";"0.049639";"0.02495";"0.05556";"0.0100";"0.0018";"0.987";"0.0010"
"103";"ILMN_2312275";"SRP54";"11.06";"10.20";" 0.8582";"0.000908";"0.07550";"0.07551";"0.0055";"0.0061";"0.987";"0.0011"
"104";"ILMN_3201604";"LOC402342";" 5.50";" 5.95";"-0.4463";"0.054385";"0.03599";"0.06521";"0.0084";"0.0013";"0.987";"0.0037"
"105";"ILMN_1761721";"VPS35";"10.80";"10.10";" 0.7042";"0.012736";"0.06483";"0.06607";"0.0073";"0.0045";"0.987";"0.0016"
"106";"ILMN_1779828";"EDEM1";" 7.16";" 6.71";" 0.4556";"0.090382";"0.01503";"0.09162";"0.0054";"0.0029";"0.987";"0.0052"
"107";"ILMN_1662848";"TXNDC15";" 5.90";" 6.15";"-0.2524";"0.025093";"0.02173";"0.03319";"0.0086";"0.0020";"0.986";"0.0032"
"108";"ILMN_1779832";"LOC400214";" 5.64";" 5.99";"-0.3434";"0.060827";"0.01837";"0.06354";"0.0063";"0.0029";"0.986";"0.0047"
"109";"ILMN_2328224";"MADD";" 4.75";" 5.34";"-0.5902";"0.043941";"0.05486";"0.07029";"0.0100";"0.0025";"0.986";"0.0014"
"110";"ILMN_2127605";"LRP3";" 8.67";" 8.93";"-0.2569";"0.037406";"0.02052";"0.04267";"0.0110";"0.0017";"0.986";"0.0012"
"111";"ILMN_3195497";"LOC100128309";" 5.68";" 6.36";"-0.6796";"0.024472";"0.06224";"0.06688";"0.0074";"0.0049";"0.986";"0.0018"
"112";"ILMN_1723706";"GRAMD4";" 6.65";" 7.33";"-0.6794";"0.087111";"0.05299";"0.10196";"0.0080";"0.0025";"0.986";"0.0037"
"113";"ILMN_1800096";"MPST";" 6.29";" 6.75";"-0.4618";"0.038778";"0.03625";"0.05309";"0.0048";"0.0088";"0.986";"0.0006"
"114";"ILMN_2217601";"ANXA9";" 4.81";" 5.46";"-0.6504";"0.105673";"0.04404";"0.11448";"0.0084";"0.0013";"0.985";"0.0053"
"115";"ILMN_3244019";"LOC647886";" 9.11";" 9.39";"-0.2777";"0.029670";"0.02357";"0.03789";"0.0087";"0.0029";"0.985";"0.0034"
"116";"ILMN_1729748";"PEF1";" 8.06";" 8.42";"-0.3644";"0.018082";"0.03337";"0.03796";"0.0079";"0.0060";"0.985";"0.0012"
"117";"ILMN_1659926";"ST7L";" 5.75";" 5.36";" 0.3893";"0.047266";"0.03241";"0.05731";"0.0095";"0.0016";"0.985";"0.0041"
"118";"ILMN_1808417";"NPHP4";" 5.40";" 6.08";"-0.6891";"0.028729";"0.06473";"0.07082";"0.0087";"0.0044";"0.985";"0.0022"
"119";"ILMN_2382290";"KREMEN2";" 6.39";" 6.87";"-0.4820";"0.009193";"0.04709";"0.04798";"0.0101";"0.0033";"0.985";"0.0022"
"120";"ILMN_1698677";"C4orf27";" 7.29";" 6.91";" 0.3797";"0.049541";"0.03255";"0.05928";"0.0118";"0.0027";"0.984";"0.0013"
"121";"ILMN_1782685";"LOC652672";" 7.12";" 7.48";"-0.3624";"0.007290";"0.03468";"0.03543";"0.0090";"0.0048";"0.984";"0.0020"
"122";"ILMN_1753862";"SRP54";"11.12";"10.22";" 0.9066";"0.095394";"0.07763";"0.12299";"0.0089";"0.0059";"0.984";"0.0011"
"123";"ILMN_1725620";"GGNBP2";" 9.45";" 8.96";" 0.4860";"0.037105";"0.03977";"0.05439";"0.0054";"0.0102";"0.984";"0.0008"
"124";"ILMN_1799387";"INO80";" 5.34";" 4.86";" 0.4858";"0.098203";"0.02908";"0.10242";"0.0125";"0.0027";"0.984";"0.0011"
"125";"ILMN_1772798";"ARPP19";" 7.82";" 7.15";" 0.6727";"0.127963";"0.03588";"0.13290";"0.0081";"0.0016";"0.984";"0.0068"
"126";"ILMN_1709880";"RPLP0";"10.28";"10.73";"-0.4487";"0.018090";"0.03948";"0.04343";"0.0061";"0.0097";"0.983";"0.0010"
"127";"ILMN_1744604";"CYBA";" 9.62";" 9.97";"-0.3564";"0.048649";"0.02502";"0.05471";"0.0061";"0.0075";"0.983";"0.0031"
"128";"ILMN_1786920";"JARID1A";" 8.00";" 7.84";" 0.1561";"0.005804";"0.01480";"0.01590";"0.0090";"0.0064";"0.983";"0.0015"
"129";"ILMN_1764764";"MUM1";" 7.48";" 8.08";"-0.5983";"0.007478";"0.05717";"0.05765";"0.0088";"0.0063";"0.983";"0.0019"
"130";"ILMN_2380243";"SMAGP";" 7.17";" 7.79";"-0.6180";"0.101548";"0.04225";"0.10999";"0.0089";"0.0025";"0.983";"0.0056"
"131";"ILMN_1781791";"PRRG1";" 6.47";" 5.54";" 0.9232";"0.063677";"0.07551";"0.09878";"0.0050";"0.0107";"0.983";"0.0015"
"132";"ILMN_1664646";"NSUN6";" 6.54";" 5.86";" 0.6860";"0.085510";"0.05090";"0.09951";"0.0062";"0.0084";"0.983";"0.0029"
"133";"ILMN_1772702";"SFRS2B";" 9.00";" 9.25";"-0.2483";"0.009430";"0.02273";"0.02461";"0.0075";"0.0084";"0.982";"0.0018"
"134";"ILMN_1801553";"LEO1";" 8.56";" 7.92";" 0.6316";"0.048060";"0.05921";"0.07626";"0.0105";"0.0041";"0.982";"0.0032"
"135";"ILMN_1729175";"FBXO3";" 7.48";" 6.81";" 0.6615";"0.015074";"0.06470";"0.06644";"0.0102";"0.0054";"0.982";"0.0022"
"136";"ILMN_2357577";"PRKAA1";" 9.72";" 8.78";" 0.9444";"0.185097";"0.06246";"0.19535";"0.0138";"0.0030";"0.982";"0.0012"
"137";"ILMN_1805828";"VRK1";" 8.55";" 7.96";" 0.5885";"0.020808";"0.05593";"0.05967";"0.0090";"0.0068";"0.982";"0.0022"
"138";"ILMN_1751171";"IRF2BP1";" 5.50";" 5.87";"-0.3710";"0.050578";"0.03046";"0.05904";"0.0107";"0.0022";"0.982";"0.0052"
"139";"ILMN_1666078";"HLA-H";" 6.45";" 7.04";"-0.5921";"0.046932";"0.05621";"0.07323";"0.0114";"0.0033";"0.982";"0.0036"
"140";"ILMN_1662617";"PPP2R3C";" 8.57";" 7.73";" 0.8350";"0.063608";"0.07799";"0.10064";"0.0103";"0.0048";"0.982";"0.0032"
"141";"ILMN_1652749";"ERF";" 7.72";" 8.03";"-0.3176";"0.046816";"0.02649";"0.05379";"0.0131";"0.0040";"0.982";"0.0014"
"142";"ILMN_3229652";"LOC728953";" 7.80";" 8.36";"-0.5605";"0.000150";"0.05337";"0.05337";"0.0086";"0.0082";"0.982";"0.0017"
"143";"ILMN_1885165";"";" 7.44";" 6.81";" 0.6304";"0.011168";"0.06045";"0.06148";"0.0090";"0.0080";"0.981";"0.0016"
"144";"ILMN_1664630";"CHEK1";" 8.33";" 7.78";" 0.5470";"0.009303";"0.05580";"0.05657";"0.0127";"0.0038";"0.981";"0.0022"
"145";"ILMN_1660436";"HSPA1B";"10.79";"11.10";"-0.3026";"0.066763";"0.01337";"0.06809";"0.0114";"0.0064";"0.981";"0.0010"
"146";"ILMN_1713668";"TSNAX";" 6.36";" 5.57";" 0.7844";"0.000324";"0.07806";"0.07806";"0.0109";"0.0057";"0.981";"0.0021"
"147";"ILMN_1809613";"NGEF";" 5.77";" 6.21";"-0.4439";"0.024010";"0.04363";"0.04980";"0.0117";"0.0041";"0.981";"0.0031"
"148";"ILMN_2362245";"HNRNPH2";" 8.47";" 7.56";" 0.9091";"0.084325";"0.08539";"0.12001";"0.0120";"0.0054";"0.981";"0.0015"
"149";"ILMN_1714093";"RMND5A";" 5.45";" 5.02";" 0.4303";"0.002382";"0.04439";"0.04445";"0.0133";"0.0033";"0.981";"0.0026"
"150";"ILMN_1754727";"GPRASP2";" 6.86";" 7.25";"-0.3928";"0.010412";"0.03476";"0.03629";"0.0059";"0.0120";"0.981";"0.0014"
"151";"ILMN_2371911";"MUC1";" 4.86";" 5.81";"-0.9425";"0.056345";"0.08525";"0.10219";"0.0078";"0.0103";"0.981";"0.0012"
"152";"ILMN_1764854";"ZNF761";" 5.89";" 5.27";" 0.6198";"0.041536";"0.06152";"0.07423";"0.0132";"0.0026";"0.981";"0.0037"
"153";"ILMN_1827211";"";" 5.64";" 6.20";"-0.5644";"0.066828";"0.05259";"0.08504";"0.0146";"0.0040";"0.980";"0.0017"
"154";"ILMN_1703246";"SBF1";" 8.94";" 9.26";"-0.3206";"0.006357";"0.03025";"0.03091";"0.0083";"0.0107";"0.980";"0.0015"
"155";"ILMN_3236423";"RAB3GAP2";" 7.54";" 6.48";" 1.0579";"0.002181";"0.10520";"0.10522";"0.0109";"0.0076";"0.979";"0.0021"
"156";"ILMN_3245659";"ERI1";" 8.15";" 7.48";" 0.6713";"0.048362";"0.06404";"0.08025";"0.0111";"0.0063";"0.979";"0.0033"
"157";"ILMN_1751941";"LOC728772";" 5.22";" 5.76";"-0.5357";"0.006371";"0.04935";"0.04976";"0.0072";"0.0124";"0.979";"0.0013"
"158";"ILMN_1805007";"SEMA4F";" 6.48";" 7.15";"-0.6721";"0.008137";"0.07012";"0.07059";"0.0142";"0.0041";"0.979";"0.0026"
"159";"ILMN_3237085";"NTF4";" 5.53";" 6.20";"-0.6744";"0.089520";"0.05948";"0.10748";"0.0135";"0.0060";"0.979";"0.0015"
"160";"ILMN_1755710";"EFNA4";" 5.95";" 6.42";"-0.4662";"0.028664";"0.03956";"0.04886";"0.0057";"0.0146";"0.979";"0.0008"
"161";"ILMN_1782954";"HIP2";" 9.73";" 9.22";" 0.5063";"0.010196";"0.04736";"0.04844";"0.0079";"0.0115";"0.979";"0.0017"
"162";"ILMN_1765493";"SHKBP1";" 7.05";" 7.48";"-0.4275";"0.068549";"0.02884";"0.07437";"0.0079";"0.0082";"0.979";"0.0049"
"163";"ILMN_1738767";"PLP2";" 7.62";" 8.12";"-0.5056";"0.005482";"0.04647";"0.04680";"0.0071";"0.0128";"0.979";"0.0013"
"164";"ILMN_1746426";"TOMM70A";" 9.49";" 8.98";" 0.5056";"0.094089";"0.03053";"0.09892";"0.0095";"0.0042";"0.979";"0.0075"
"165";"ILMN_1718706";"ERAL1";"10.28";"10.52";"-0.2403";"0.016993";"0.02326";"0.02881";"0.0118";"0.0063";"0.978";"0.0035"
"166";"ILMN_1880052";"";" 6.89";" 6.43";" 0.4670";"0.045999";"0.04693";"0.06571";"0.0172";"0.0023";"0.978";"0.0021"
"167";"ILMN_1798346";"KIAA1468";" 7.87";" 7.27";" 0.5966";"0.095345";"0.04262";"0.10444";"0.0093";"0.0067";"0.978";"0.0057"
"168";"ILMN_1655684";"SARS2";" 9.22";" 9.42";"-0.2011";"0.044755";"0.00985";"0.04583";"0.0133";"0.0074";"0.978";"0.0011"
"169";"ILMN_1803824";"ZDHHC9";" 9.39";" 9.49";"-0.1083";"0.023126";"0.00701";"0.02416";"0.0175";"0.0029";"0.978";"0.0015"
"170";"ILMN_2397231";"USP16";" 9.48";" 8.79";" 0.6882";"0.020352";"0.07189";"0.07472";"0.0147";"0.0049";"0.978";"0.0024"
"171";"ILMN_1695357";"CCDC99";" 9.04";" 8.16";" 0.8857";"0.106982";"0.07665";"0.13161";"0.0109";"0.0068";"0.978";"0.0046"
"172";"ILMN_1778673";"GOLGA7";"10.04";" 9.78";" 0.2553";"0.025016";"0.02246";"0.03362";"0.0093";"0.0121";"0.978";"0.0012"
